path,month_end_date,fiscal_year,fiscal_quarter,is_actual,period_label,phase6_total_revenue,phase6_gross_profit,phase6_sales_marketing,phase6_total_opex,phase6_operating_income,phase6_commission_treatment,asc340_gaap_commission_expense,asc340_immediate_expense,asc340_amortisation,commission_accounting_adjustment,enhanced_sales_marketing,enhanced_total_opex,enhanced_operating_income,enhanced_operating_margin,phase6_operating_margin,adjustment_pct_of_revenue,commission_earned,commission_paid_cash,gaap_less_cash_commission,cumulative_expense_deferred
Base,2024-01-31,2024,2024Q1,true,Actual,946710.02,525109.5700000001,947423.69,1888561.3,-1363451.73,12478.2,12478.188455000001,11998.570788,479.6176669999999,-0.011544999999387073,947423.6784549999,1888561.2884550001,-1363451.718455,-1.440199944704293,-1.4401999568991568,-1.2194864061317396e-08,29264.806800000002,17266.236012,-4788.047557,16786.618345
Base,2024-02-29,2024,2024Q1,true,Actual,1658954.41,1242959.2,977703.18,1965500.83,-722541.6300000001,18853.539999999997,18853.54643283333,17667.699581999997,1185.8468508333333,0.006432833331928123,977703.1864328334,1965500.8364328335,-722541.6364328335,-0.43554038138566664,-0.4355403775080234,3.877643227054156e-09,43091.9502,32155.156182,-13301.60974916667,41025.02211216667
Base,2024-03-31,2024,2024Q1,true,Actual,1674355.28,1250219.24,1054104.8,2118453.97,-868234.7300000002,35559.82,35559.811660416664,33052.750527,2507.061133416667,-0.008339583335327916,1054104.7916604166,2118453.961660417,-868234.7216604169,-0.51854868081547,-0.5185486857962428,-4.980772859227294e-09,80616.4647,61571.935671,-26012.124010583335,86081.67515175001
Base,2024-04-30,2024,2024Q2,true,Actual,1718726.73,1269606.3,1037058.49,2090908.53,-821302.23,23261.960000000003,23261.959483,19957.153070999997,3304.806412,-0.0005170000040379819,1037058.489483,2090908.529483,-821302.229483,-0.47785503951695685,-0.4778550398177609,-3.0080407490839563e-10,48675.9831,54464.08221,-31202.122727,111495.69876875001
Base,2024-05-31,2024,2024Q2,true,Actual,1770528.8699999999,1328588.16,1098451.4,2141260.77,-812672.6100000001,35872.79,35872.80266033333,31316.197043999997,4556.605616333333,0.012660333326493856,1098451.4126603333,2141260.7826603334,-812672.6226603334,-0.4589999273269876,-0.45899992017639346,7.150594119650733e-09,76380.9684,69270.230535,-33397.42787466667,152003.86450841668
Base,2024-06-30,2024,2024Q2,true,Actual,1801896.03,1325414.11,1083768.5,2129017.78,-803603.6699999997,22013.35,22013.353590083338,16785.771993000002,5227.581597083334,0.003590083339076955,1083768.5035900834,2129017.783590083,-803603.673590083,-0.4459767157542841,-0.4459767137618921,1.9923920577576028e-09,40940.9073,51762.05426099999,-29748.700670916653,170931.41821833333
Base,2024-07-31,2024,2024Q3,true,Actual,1839292.55,1380989.92,1049621.29,2126136.17,-745146.25,15096.63,15096.634486666666,9489.721214999998,5606.913271666667,0.004486666666707606,1049621.2944866668,2126136.1744866665,-745146.2544866666,-0.4051265550369715,-0.4051265525976278,2.439343684998673e-09,23145.6615,35712.723864,-20616.089377333334,178980.44523166667
Base,2024-08-31,2024,2024Q3,true,Actual,1877082.55,1405239.24,1061352.01,2108439.45,-703200.2100000002,26594.66,26594.651677916667,20181.043575,6413.608102916667,-0.008322083333041519,1061352.0016779166,2108439.441677917,-703200.2016779168,-0.37462401516540483,-0.37462401959892505,-4.433520163000566e-09,49222.0575,43151.481827999996,-16556.83015008333,201607.85105375
Base,2024-09-30,2024,2024Q3,true,Actual,1891273.75,1415247.6400000001,1152926.23,2283191.58,-867943.94,23450.39,23450.3818675,16381.940115,7068.441752500001,-0.008132499999192078,1152926.2218674999,2283191.5718675,-867943.9318675,-0.45892030800274153,-0.4589203123027536,-4.300012094596077e-09,39955.9515,39773.11351200001,-16322.73164450001,218113.42068625
Base,2024-10-31,2024,2024Q4,true,Actual,1919633.57,1423223.12,1131396.07,2254046.2600000002,-830823.1400000001,23369.15,23369.152189166663,15674.168471999998,7694.983717166668,0.0021891666619922034,1131396.0721891667,2254046.262189167,-830823.1421891667,-0.4328029865560054,-0.43280298541559686,1.1404086155839644e-09,38229.6792,39562.29408299999,-16193.14189383333,232973.94769708332
