path,segment,month_end_date,beginning_arr,new_logo_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,ending_arr,is_actual,period_label
Base,Enterprise,2024-01-31,7243149.6,252805.68,17807.52,0.0,-170906.88,0.0,7342855.92,true,Actual
Base,Enterprise,2024-02-29,7342855.92,149726.04,5976.24,0.0,-14219.28,0.0,7484338.92,true,Actual
Base,Enterprise,2024-03-31,7484338.92,589680.24,107364.6,0.0,0.0,-86629.2,8094754.56,true,Actual
Base,Enterprise,2024-04-30,8094754.56,99912.0,280066.44,0.0,0.0,0.0,8474733.0,true,Actual
Base,Enterprise,2024-05-31,8474733.0,180761.88,68119.32,0.0,0.0,0.0,8723614.2,true,Actual
Base,Enterprise,2024-06-30,8723614.2,225501.36,176772.84,0.0,0.0,0.0,9125888.4,true,Actual
Base,Enterprise,2024-07-31,9125888.4,0.0,26895.84,0.0,-6522.6,0.0,9146261.64,true,Actual
Base,Enterprise,2024-08-31,9146261.64,0.0,76411.56,0.0,0.0,-340061.88,8882611.32,true,Actual
Base,Enterprise,2024-09-30,8882611.32,174091.44,21904.44,0.0,0.0,0.0,9078607.2,true,Actual
Base,Enterprise,2024-10-31,9078607.2,252620.64,25480.68,0.0,-10339.2,-113261.4,9233107.92,true,Actual
Base,Enterprise,2024-11-30,9233107.92,227905.92,32363.52,0.0,-45675.24,0.0,9447702.12,true,Actual
Base,Enterprise,2024-12-31,9447702.12,704803.68,4033.44,0.0,-75544.68,0.0,10080994.56,true,Actual
Base,Enterprise,2025-01-31,10080994.56,483067.68,53838.24,0.0,-201625.2,0.0,10416275.28,true,Actual
Base,Enterprise,2025-02-28,10416275.28,126450.24,99623.52,0.0,-62205.6,0.0,10580143.44,true,Actual
Base,Enterprise,2025-03-31,10580143.44,60097.2,20297.76,0.0,-11530.8,0.0,10649007.6,true,Actual
Base,Enterprise,2025-04-30,10649007.6,0.0,258455.04,0.0,-61589.4,0.0,10845873.24,true,Actual
Base,Enterprise,2025-05-31,10845873.24,0.0,23069.4,0.0,0.0,0.0,10868942.64,true,Actual
Base,Enterprise,2025-06-30,10868942.64,77274.96,0.0,0.0,-9301.68,0.0,10936915.92,true,Actual
Base,Enterprise,2025-07-31,10936915.92,0.0,19308.84,0.0,0.0,0.0,10956224.76,true,Actual
Base,Enterprise,2025-08-31,10956224.76,0.0,60897.72,0.0,0.0,0.0,11017122.48,true,Actual
Base,Enterprise,2025-09-30,11017122.48,0.0,28725.96,0.0,0.0,0.0,11045848.44,true,Actual
Base,Enterprise,2025-10-31,11045848.44,65671.56,36248.04,0.0,-39511.2,0.0,11108256.84,true,Actual
Base,Enterprise,2025-11-30,11108256.84,437562.48,110926.32,0.0,0.0,-252620.64,11404125.0,true,Actual
Base,Enterprise,2025-12-31,11404125.0,200082.36,6435.24,0.0,-8846.16,0.0,11601796.44,true,Actual
Base,Enterprise,2026-01-31,11601796.44,0.0,22979.64,0.0,-184766.76,0.0,11440009.32,true,Actual
Base,Enterprise,2026-02-28,11440009.32,164833.56,56577.12,0.0,0.0,0.0,11661420.0,true,Actual
Base,Enterprise,2026-03-31,11661420.0,122294.16,10617.84,0.0,0.0,0.0,11794332.0,true,Actual
Base,Enterprise,2026-04-30,11794332.0,0.0,386237.64,0.0,-27607.08,0.0,12152962.56,true,Actual
Base,Enterprise,2026-05-31,12152962.56,0.0,512099.52,0.0,-43314.36,0.0,12621747.72,true,Actual
Base,Enterprise,2026-06-30,12621747.72,431755.68,46447.92,0.0,0.0,-407847.24,12692104.08,true,Actual
Base,Enterprise,2026-07-31,12692104.08,81568.06,119558.13016162619,0.0,-0.0,-0.0,12893230.270161627,false,FY2026 Reforecast
Base,Enterprise,2026-08-31,12893230.270161625,46131.0475,119558.13016162619,0.0,-25113.174309332182,-30966.796331132766,13002839.477182787,false,FY2026 Reforecast
Base,Enterprise,2026-09-30,13002839.477182787,0.0,119558.13016162619,0.0,-35273.49342460707,-43495.38108216973,13043628.732837636,false,FY2026 Reforecast
Base,Enterprise,2026-10-31,13043628.732837636,0.0,119558.13016162619,0.0,-38219.743343075315,-47128.37148163185,13077838.748174556,false,FY2026 Reforecast
Base,Enterprise,2026-11-30,13077838.748174556,85554.3865625,119558.13016162619,0.0,-98233.5114191916,-121130.73017136256,13063587.023308128,false,FY2026 Reforecast
Base,Enterprise,2026-12-31,13063587.023308128,85554.3865625,119558.13016162619,0.0,-115145.23842762347,-141984.4063903508,13011569.89521428,false,FY2026 Reforecast
Base,Enterprise,2027-01-31,13011569.895214278,85554.3865625,119558.13016162619,0.0,-130074.3280577216,-160393.31289854477,12926214.770982139,false,Forward Runway Projection
Base,Enterprise,2027-02-28,12926214.770982139,85554.3865625,119558.13016162619,0.0,-50739.697005534355,-62566.59726563864,13018020.993435092,false,Forward Runway Projection
Base,Enterprise,2027-03-31,13018020.993435092,85554.3865625,119558.13016162619,0.0,-92455.07931477226,-114005.40511739923,13016673.025727047,false,Forward Runway Projection
Base,Enterprise,2027-04-30,13016673.025727047,85554.3865625,119558.13016162619,0.0,-8884.781368649186,-10955.732306105225,13201945.028776418,false,Forward Runway Projection
Base,Enterprise,2027-05-31,13201945.028776418,85554.3865625,119558.13016162619,0.0,-0.0,-0.0,13407057.545500545,false,Forward Runway Projection
Base,Enterprise,2027-06-30,13407057.545500547,85554.3865625,119558.13016162619,0.0,-46800.445802945425,-57709.14722028891,13507660.469201438,false,Forward Runway Projection
Base,Enterprise,2027-07-31,13507660.469201436,85554.3865625,119558.13016162619,0.0,-0.0,-0.0,13712772.985925563,false,Forward Runway Projection
Base,Enterprise,2027-08-31,13712772.985925563,85554.3865625,119558.13016162619,0.0,-0.0,-0.0,13917885.50264969,false,Forward Runway Projection
