month_end_date,segment,beginning_arr,new_logo_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,ending_arr,net_new_arr
2023-12-31,Enterprise,0.00,7243149.60,0.00,0.00,0.00,0.00,7243149.60,7243149.60
2023-12-31,Mid-Market,0.00,7952748.60,0.00,0.00,0.00,0.00,7952748.60,7952748.60
2023-12-31,SMB,0.00,3375238.80,0.00,0.00,0.00,0.00,3375238.80,3375238.80
2023-12-31,Total,0.00,18571137.00,0.00,0.00,0.00,0.00,18571137.00,18571137.00
2024-01-31,Enterprise,7243149.60,252805.68,17807.52,0.00,-170906.88,0.00,7342855.92,99706.32
2024-01-31,Mid-Market,7952748.60,172220.28,147458.16,0.00,-80055.60,-107047.08,8085324.36,132575.76
2024-01-31,SMB,3375238.80,100540.80,53960.76,0.00,-7499.40,-42523.08,3479717.88,104479.08
2024-01-31,Total,18571137.00,525566.76,219226.44,0.00,-258461.88,-149570.16,18907898.16,336761.16
2024-02-29,Enterprise,7342855.92,149726.04,5976.24,0.00,-14219.28,0.00,7484338.92,141483.00
2024-02-29,Mid-Market,8085324.36,132305.40,226285.92,0.00,-68057.04,-70715.40,8305143.24,219818.88
2024-02-29,SMB,3479717.88,74799.24,46726.20,0.00,-8986.80,-86233.56,3506022.96,26305.08
2024-02-29,Total,18907898.16,356830.68,278988.36,0.00,-91263.12,-156948.96,19295505.12,387606.96
2024-03-31,Enterprise,7484338.92,589680.24,107364.60,0.00,0.00,-86629.20,8094754.56,610415.64
2024-03-31,Mid-Market,8305143.24,102273.12,155372.16,0.00,-61393.08,-124819.80,8376575.64,71432.40
2024-03-31,SMB,3506022.96,139078.68,49352.88,0.00,-4143.72,-112547.88,3577762.92,71739.96
2024-03-31,Total,19295505.12,831032.04,312089.64,0.00,-65536.80,-323996.88,20049093.12,753588.00
2024-04-30,Enterprise,8094754.56,99912.00,280066.44,0.00,0.00,0.00,8474733.00,379978.44
2024-04-30,Mid-Market,8376575.64,66204.12,233598.36,0.00,-33935.64,-64126.08,8578316.40,201740.76
2024-04-30,SMB,3577762.92,50112.84,24249.60,0.00,-23431.08,-141223.92,3487470.36,-90292.56
2024-04-30,Total,20049093.12,216228.96,537914.40,0.00,-57366.72,-205350.00,20540519.76,491426.64
2024-05-31,Enterprise,8474733.00,180761.88,68119.32,0.00,0.00,0.00,8723614.20,248881.20
2024-05-31,Mid-Market,8578316.40,100275.72,139232.28,0.00,-32696.16,-72841.32,8712286.92,133970.52
2024-05-31,SMB,3487470.36,102751.92,35972.16,8655.48,-13268.16,-93211.20,3528370.56,40900.20
2024-05-31,Total,20540519.76,383789.52,243323.76,8655.48,-45964.32,-166052.52,20964271.68,423751.92
2024-06-30,Enterprise,8723614.20,225501.36,176772.84,0.00,0.00,0.00,9125888.40,402274.20
2024-06-30,Mid-Market,8712286.92,116032.32,94414.92,24229.92,-75445.08,-56086.68,8815432.32,103145.40
2024-06-30,SMB,3528370.56,120066.60,21794.04,10098.72,-5994.36,-71322.84,3603012.72,74642.16
2024-06-30,Total,20964271.68,461600.28,292981.80,34328.64,-81439.44,-127409.52,21544333.44,580061.76
2024-07-31,Enterprise,9125888.40,0.00,26895.84,0.00,-6522.60,0.00,9146261.64,20373.24
2024-07-31,Mid-Market,8815432.32,266252.64,244033.68,28983.84,-75621.96,-38930.16,9240150.36,424718.04
2024-07-31,SMB,3603012.72,54087.12,45613.92,4786.44,-6699.36,-81312.48,3619488.36,16475.64
2024-07-31,Total,21544333.44,320339.76,316543.44,33770.28,-88843.92,-120242.64,22005900.36,461566.92
2024-08-31,Enterprise,9146261.64,0.00,76411.56,0.00,0.00,-340061.88,8882611.32,-263650.32
2024-08-31,Mid-Market,9240150.36,94503.12,225500.28,0.00,-41961.36,-47062.80,9471129.60,230979.24
2024-08-31,SMB,3619488.36,54269.40,23001.84,7010.52,-10480.44,-58620.48,3634669.20,15180.84
2024-08-31,Total,22005900.36,148772.52,324913.68,7010.52,-52441.80,-445745.16,21988410.12,-17490.24
2024-09-30,Enterprise,8882611.32,174091.44,21904.44,0.00,0.00,0.00,9078607.20,195995.88
2024-09-30,Mid-Market,9471129.60,59475.36,122809.56,17320.44,-26596.68,0.00,9644138.28,173008.68
