month_end_date,fiscal_year,fiscal_quarter,segment,billings,scheduled_billings,proration_billings,arrears_billings,subscription_revenue,billings_less_revenue,ttm_billings,ttm_subscription_revenue,ttm_billings_to_revenue,billings_yoy_growth,ending_deferred_revenue,ending_unbilled_receivable,ending_net_contract_liability,contracts_in_force,contracts_invoiced_in_advance
2024-01-31,2024,2024Q1,Enterprise,768339.09,304355.24,463983.85,0.0,611904.6599999999,156434.43000000005,,,,,2621245.8799999994,1.418811734765768e-10,2621245.8799999994,42,7
2024-01-31,2024,2024Q1,SMB,265964.0099999999,47891.04,43246.4,174826.57,289976.4899999999,-24012.47999999998,,,,,374361.6799999999,182660.66999999998,191701.0099999999,523,34
2024-01-31,2024,2024Q1,Total,2180621.94,739055.6000000001,1237328.88,204237.46000000002,1575658.1799999992,604963.7600000007,,,,,5869734.949999999,212071.5600000003,5657663.389999999,791,84
2024-01-31,2024,2024Q1,Mid-Market,1146318.84,386809.32,730098.6299999999,29410.89,673777.0299999996,472541.8100000005,,,,,2874127.3899999997,29410.89000000016,2844716.4999999995,226,43
2024-02-29,2024,2024Q1,Enterprise,1180156.96,620667.9199999999,559489.0399999999,0.0,623694.91,556462.0499999999,,,,,3177707.93,1.1459633242338896e-10,3177707.93,43,7
2024-02-29,2024,2024Q1,Total,2049053.86,883374.22,953608.08,212071.56,1607958.7599999993,441095.1000000008,,,,,6314951.529999998,216193.04000000036,6098758.489999998,791,82
2024-02-29,2024,2024Q1,SMB,279859.01,50406.19,46792.15,182660.66999999998,292168.5799999999,-12309.56999999989,,,,,365126.29999999993,185734.86000000007,179391.43999999986,520,39
2024-02-29,2024,2024Q1,Mid-Market,589037.89,212300.11000000002,347326.89,29410.89,692095.2699999994,-103057.37999999942,,,,,2772117.2999999984,30458.18000000018,2741659.1199999982,228,36
2024-03-31,2024,2024Q1,SMB,309663.67000000016,75519.02,48409.78999999999,185734.86000000004,298146.9099999999,11516.760000000242,,,,,381782.52,190874.31999999998,190908.20000000004,522,57
2024-03-31,2024,2024Q1,Mid-Market,938713.8800000002,328520.24000000005,579735.4600000001,30458.18,698047.9699999995,240665.91000000073,,,,,3010144.7000000007,27819.67000000008,2982325.0300000007,229,62
2024-03-31,2024,2024Q1,Total,2488992.25,1637180.5599999998,635618.6500000001,216193.04000000004,1670757.7599999995,818234.4900000005,,,,,7135686.970000001,218693.99000000017,6916992.98,794,133
2024-03-31,2024,2024Q1,Enterprise,1240614.7,1233141.2999999998,7473.400000000003,0.0,674562.8800000001,566051.8199999998,,,,,3743759.75,1.000444171950221e-10,3743759.75,43,14
