path,month_end_date,beginning_cash,collections,cash_operating_outflows,capex,net_cash_flow,monthly_burn,ending_cash,period_label
Base,2026-07-31,21800000.0,2701986.597912257,3169564.181690343,0.0,-467577.5837780861,467577.5837780861,21332422.416221913,FY2026 Reforecast
Base,2026-08-31,21332422.416221917,2758263.4408390233,3331214.694546118,0.0,-572951.2537070946,572951.2537070946,20759471.16251482,FY2026 Reforecast
Base,2026-09-30,20759471.16251482,2791023.818095626,3320346.3402383025,0.0,-529322.5221426766,529322.5221426766,20230148.640372142,FY2026 Reforecast
Base,2026-10-31,20230148.640372142,2815294.5815955563,3312069.7637342857,0.0,-496775.1821387294,496775.1821387294,19733373.458233412,FY2026 Reforecast
Base,2026-11-30,19733373.458233412,2846362.539006648,3316324.5106611787,0.0,-469961.9716545306,469961.9716545306,19263411.48657888,FY2026 Reforecast
Base,2026-12-31,19263411.48657888,2890177.5878764926,3308093.7319123843,0.0,-417916.14403589163,417916.14403589163,18845495.34254299,FY2026 Reforecast
Base,2027-01-31,18845495.34254299,2924693.537195972,3299876.2451406787,0.0,-375182.70794470655,375182.70794470655,18470312.634598285,Forward Runway Projection
Base,2027-02-28,18470312.634598285,2945849.1344554788,3291610.55298022,0.0,-345761.4185247412,345761.4185247412,18124551.216073543,Forward Runway Projection
Base,2027-03-31,18124551.216073543,2961288.8218001626,3283364.627482576,0.0,-322075.8056824133,322075.8056824133,17802475.41039113,Forward Runway Projection
Base,2027-04-30,17802475.41039113,2982466.7628415264,3275151.0661079264,0.0,-292684.3032664,292684.3032664,17509791.10712473,Forward Runway Projection
Base,2027-05-31,17509791.10712473,3009114.188390052,3266969.6939094597,0.0,-257855.5055194078,257855.5055194078,17251935.601605322,Forward Runway Projection
Base,2027-06-30,17251935.601605322,3042733.6366469404,3258820.33780366,0.0,-216086.7011567196,216086.7011567196,17035848.9004486,Forward Runway Projection
Base,2027-07-31,17035848.900448605,3083285.499584445,3250702.8265344794,0.0,-167417.3269500346,167417.3269500346,16868431.57349857,Forward Runway Projection
Base,2027-08-31,16868431.57349857,3125245.021627214,3242616.990638348,0.0,-117371.969011134,117371.969011134,16751059.604487434,Forward Runway Projection
Base,2027-09-30,16751059.604487434,3172307.341796718,3234562.662410012,0.0,-62255.32061329391,62255.32061329391,16688804.28387414,Forward Runway Projection
Base,2027-10-31,16688804.283874141,3227875.258386165,3226539.6758691682,0.0,1335.5825169966556,-1335.5825169966556,16690139.866391137,Forward Runway Projection
Base,2027-11-30,16690139.866391137,3287093.5635111597,3218547.8667278844,0.0,68545.69678327534,-68545.69678327534,16758685.563174412,Forward Runway Projection
Base,2027-12-31,16758685.563174412,3347303.1697475896,3210587.0723587824,0.0,136716.09738880722,-136716.09738880722,16895401.66056322,Forward Runway Projection
Base_FullClose,2026-07-31,21800000.0,2701986.597912257,3169564.181690343,0.0,-467577.5837780861,467577.5837780861,21332422.416221913,FY2026 Reforecast
Base_FullClose,2026-08-31,21332422.416221913,2758263.4408390224,3331214.694546118,0.0,-572951.2537070955,572951.2537070955,20759471.162514817,FY2026 Reforecast
Base_FullClose,2026-09-30,20759471.16251482,2791023.8180956254,3320346.3402383025,0.0,-529322.5221426771,529322.5221426771,20230148.640372142,FY2026 Reforecast
Base_FullClose,2026-10-31,20230148.640372142,2815294.5815955563,3358662.94495566,0.0,-543368.3633601037,543368.3633601037,19686780.27701204,FY2026 Reforecast
Base_FullClose,2026-11-30,19686780.277012035,2846375.0276012057,3362706.780752396,0.0,-516331.75315119047,516331.75315119047,19170448.523860846,FY2026 Reforecast
Base_FullClose,2026-12-31,19170448.523860846,2890213.3548900774,3354231.7525782655,0.0,-464018.3976881881,464018.3976881881,18706430.126172658,FY2026 Reforecast
Base_FullClose,2027-01-31,18706430.12617266,2924729.810294508,3345788.355647197,0.0,-421058.545352689,421058.545352689,18285371.58081997,Forward Runway Projection
Base_FullClose,2027-02-28,18285371.58081997,2945942.5571508007,3337376.462753471,0.0,-391433.9056026703,391433.9056026703,17893937.6752173,Forward Runway Projection
Base_FullClose,2027-03-31,17893937.6752173,2961611.098730258,3328995.9472321216,0.0,-367384.8485018634,367384.8485018634,17526552.826715436,Forward Runway Projection
Base_FullClose,2027-04-30,17526552.826715432,2983203.950675412,3320646.682956547,0.0,-337442.73228113493,337442.73228113493,17189110.0944343,Forward Runway Projection
Base_FullClose,2027-05-31,17189110.0944343,3010447.1407386083,3312328.544336129,0.0,-301881.40359752066,301881.40359752066,16887228.69083678,Forward Runway Projection
Base_FullClose,2027-06-30,16887228.69083678,3044845.066332567,3304041.4063138636,0.0,-259196.33998129657,259196.33998129657,16628032.350855483,Forward Runway Projection
Base_FullClose,2027-07-31,16628032.350855483,3086360.751429705,3295785.1443640045,0.0,-209424.39293429954,209424.39293429954,16418607.957921183,Forward Runway Projection
Base_FullClose,2027-08-31,16418607.957921183,3129465.86045438,3287559.6344897165,0.0,-158093.77403533645,158093.77403533645,16260514.183885846,Forward Runway Projection
Base_FullClose,2027-09-30,16260514.183885846,3177851.02831373,3279364.753220733,0.0,-101513.72490700288,101513.72490700288,16159000.458978843,Forward Runway Projection
Base_FullClose,2027-10-31,16159000.458978843,3234914.660798141,3271200.377611038,0.0,-36285.71681289701,36285.71681289701,16122714.742165945,Forward Runway Projection
Base_FullClose,2027-11-30,16122714.742165945,3295797.2663661777,3263066.385236544,0.0,32730.881129633635,-32730.881129633635,16155445.62329558,Forward Runway Projection
Base_FullClose,2027-12-31,16155445.62329558,3357835.580085291,3254962.6541927913,0.0,102872.92589249974,-102872.92589249974,16258318.54918808,Forward Runway Projection
Base_Targeted,2026-07-31,21800000.0,2701986.597912257,3169564.181690343,0.0,-467577.5837780861,467577.5837780861,21332422.416221913,FY2026 Reforecast
Base_Targeted,2026-08-31,21332422.416221913,2758263.4408390224,3331214.694546118,0.0,-572951.2537070955,572951.2537070955,20759471.162514817,FY2026 Reforecast
Base_Targeted,2026-09-30,20759471.16251482,2791023.8180956254,3320346.3402383025,0.0,-529322.5221426771,529322.5221426771,20230148.640372142,FY2026 Reforecast
Base_Targeted,2026-10-31,20230148.640372142,2815294.5815955563,3312069.7637342857,0.0,-496775.1821387294,496775.1821387294,19733373.458233412,FY2026 Reforecast
Base_Targeted,2026-11-30,19733373.458233412,2846362.5390066477,3316324.5106611787,0.0,-469961.9716545311,469961.9716545311,19263411.48657888,FY2026 Reforecast
Base_Targeted,2026-12-31,19263411.486578878,2890177.587876492,3308093.7319123843,0.0,-417916.1440358921,417916.1440358921,18845495.342542987,FY2026 Reforecast
Base_Targeted,2027-01-31,18845495.342542987,2924693.537195972,3299876.2451406787,0.0,-375182.70794470655,375182.70794470655,18470312.63459828,Forward Runway Projection
Base_Targeted,2027-02-28,18470312.63459828,2945849.1344554783,3291610.55298022,0.0,-345761.41852474166,345761.41852474166,18124551.21607354,Forward Runway Projection
Base_Targeted,2027-03-31,18124551.21607354,2961288.821800162,3283364.627482576,0.0,-322075.80568241375,322075.80568241375,17802475.410391126,Forward Runway Projection
