acquisition_quarter,segment,quarters_since_acquisition,starting_arr,retained_arr,arr_retention_pct
2024Q1,Enterprise,0,992211.96,992211.96,1.0
2024Q1,Enterprise,1,992211.96,1090699.44,1.0992605249386431
2024Q1,Enterprise,2,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,3,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,4,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,5,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,6,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,7,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,8,992211.96,1106271.36,1.1149546715804557
2024Q1,Enterprise,9,992211.96,1173390.36,1.1826004999980047
2024Q1,Mid-Market,0,398560.44,398560.44,1.0
2024Q1,Mid-Market,1,398560.44,460331.76,1.1549860794011568
2024Q1,Mid-Market,2,398560.44,538992.96,1.3523493701482263
2024Q1,Mid-Market,3,398560.44,618810.00,1.5526126978382502
2024Q1,Mid-Market,4,398560.44,505447.32,1.2681823615008052
2024Q1,Mid-Market,5,398560.44,514696.32,1.2913883776322608
2024Q1,Mid-Market,6,398560.44,522977.76,1.312166756941557
2024Q1,Mid-Market,7,398560.44,601386.00,1.5088953635237858
2024Q1,Mid-Market,8,398560.44,544344.36,1.3657761919371627
2024Q1,Mid-Market,9,398560.44,571927.56,1.434983261258945
2024Q1,SMB,0,292018.56,292018.56,1.0
2024Q1,SMB,1,292018.56,251043.36,0.8596828913888213
2024Q1,SMB,2,292018.56,251195.76,0.8602047760251952
2024Q1,SMB,3,292018.56,248006.40,0.8492830044775236
2024Q1,SMB,4,292018.56,210805.80,0.7218917866042487
2024Q1,SMB,5,292018.56,213887.04,0.732443307713044
2024Q1,SMB,6,292018.56,223644.84,0.7658583070884262
2024Q1,SMB,7,292018.56,225131.52,0.7709493533561702
2024Q1,SMB,8,292018.56,209869.56,0.7186856890192185
2024Q1,SMB,9,292018.56,196309.44,0.6722498734327024
2024Q1,Total,0,1682790.96,1682790.96,1.0
2024Q1,Total,1,1682790.96,1802074.56,1.0708843836432305
2024Q1,Total,2,1682790.96,1896460.08,1.126973061466886
2024Q1,Total,3,1682790.96,1973087.76,1.1725091273368857
2024Q1,Total,4,1682790.96,1822524.48,1.083036766491781
2024Q1,Total,5,1682790.96,1834854.72,1.0903640223976483
2024Q1,Total,6,1682790.96,1852893.96,1.1010838565474586
2024Q1,Total,7,1682790.96,1932788.88,1.1485614826454738
2024Q1,Total,8,1682790.96,1860485.28,1.1055950050979595
2024Q1,Total,9,1682790.96,1941627.36,1.153813757116927
2024Q2,Enterprise,0,506175.24,506175.24,1.0
2024Q2,Enterprise,1,506175.24,506175.24,1.0
2024Q2,Enterprise,2,506175.24,506175.24,1.0
2024Q2,Enterprise,3,506175.24,552991.80,1.0924908140508809
2024Q2,Enterprise,4,506175.24,579541.80,1.1449430043239572
2024Q2,Enterprise,5,506175.24,590367.24,1.1663297477766792
2024Q2,Enterprise,6,506175.24,606442.44,1.1980879191167073
2024Q2,Enterprise,7,506175.24,606442.44,1.1980879191167073
2024Q2,Enterprise,8,506175.24,569198.28,1.124508342209706
2024Q2,Mid-Market,0,284883.60,284883.60,1.0
2024Q2,Mid-Market,1,284883.60,288195.24,1.0116245371793955
2024Q2,Mid-Market,2,284883.60,332769.48,1.1680892827807567
2024Q2,Mid-Market,3,284883.60,352987.08,1.2390572149467363
2024Q2,Mid-Market,4,284883.60,330538.92,1.1602595586407922
2024Q2,Mid-Market,5,284883.60,303803.76,1.06641365104906
2024Q2,Mid-Market,6,284883.60,401694.60,1.4100306230334074
2024Q2,Mid-Market,7,284883.60,412429.92,1.4477138031111654
2024Q2,Mid-Market,8,284883.60,449279.64,1.5770638955699803
2024Q2,SMB,0,271569.12,271569.12,1.0
2024Q2,SMB,1,271569.12,247895.52,0.9128266129816233
2024Q2,SMB,2,271569.12,236465.28,0.8707369969015623
2024Q2,SMB,3,271569.12,227334.24,0.8371137336969682
2024Q2,SMB,4,271569.12,193307.16,0.7118156880281529
2024Q2,SMB,5,271569.12,192448.08,0.7086522944876795
2024Q2,SMB,6,271569.12,195454.92,0.7197243928175634
2024Q2,SMB,7,271569.12,183903.96,0.6771902490238949
2024Q2,SMB,8,271569.12,187454.76,0.6902653733237417
2024Q2,Total,0,1062627.96,1062627.96,1.0
2024Q2,Total,1,1062627.96,1042266.00,0.9808381100757033
2024Q2,Total,2,1062627.96,1075410.00,1.0120287066415983
2024Q2,Total,3,1062627.96,1133313.12,1.0665191983090678
2024Q2,Total,4,1062627.96,1103387.88,1.0383576581214746
2024Q2,Total,5,1062627.96,1086619.08,1.0225771586134438
2024Q2,Total,6,1062627.96,1203591.96,1.1326560238448835
2024Q2,Total,7,1062627.96,1202776.32,1.1318884551089736
2024Q2,Total,8,1062627.96,1205932.68,1.1348587891476147
2024Q3,Enterprise,0,174091.44,174091.44,1.0
2024Q3,Enterprise,1,174091.44,174091.44,1.0
2024Q3,Enterprise,2,174091.44,174091.44,1.0
2024Q3,Enterprise,3,174091.44,174091.44,1.0
2024Q3,Enterprise,4,174091.44,188053.80,1.0802013011093479
2024Q3,Enterprise,5,174091.44,194651.28,1.1180979374976736
2024Q3,Enterprise,6,174091.44,194651.28,1.1180979374976736
2024Q3,Enterprise,7,174091.44,194651.28,1.1180979374976736
2024Q3,Mid-Market,0,420231.12,420231.12,1.0
2024Q3,Mid-Market,1,420231.12,447848.16,1.065718693084891
2024Q3,Mid-Market,2,420231.12,472049.76,1.1233098586320784
2024Q3,Mid-Market,3,420231.12,503650.56,1.1985084779061579
2024Q3,Mid-Market,4,420231.12,465872.16,1.1086093766687246
2024Q3,Mid-Market,5,420231.12,486893.16,1.1586318500162482
2024Q3,Mid-Market,6,420231.12,494732.88,1.1772875840323296
2024Q3,Mid-Market,7,420231.12,622312.92,1.4808825200760953
2024Q3,SMB,0,171552.00,171552.00,1.0
2024Q3,SMB,1,171552.00,147891.36,0.8620789031897034
2024Q3,SMB,2,171552.00,153902.16,0.8971166759932848
2024Q3,SMB,3,171552.00,119829.60,0.6985030777839956
2024Q3,SMB,4,171552.00,91772.88,0.5349566312255176
2024Q3,SMB,5,171552.00,84912.36,0.4949657246782317
2024Q3,SMB,6,171552.00,87574.44,0.5104833519865697
2024Q3,SMB,7,171552.00,87574.44,0.5104833519865697
2024Q3,Total,0,765874.56,765874.56,1.0
2024Q3,Total,1,765874.56,769830.96,1.0051658590148234
2024Q3,Total,2,765874.56,800043.36,1.0446140945065467
2024Q3,Total,3,765874.56,797571.60,1.041386725262163
2024Q3,Total,4,765874.56,745698.84,0.9736566259623507
2024Q3,Total,5,765874.56,766456.80,1.0007602289335737
2024Q3,Total,6,765874.56,776958.60,1.0144723961062239
2024Q3,Total,7,765874.56,904538.64,1.1810532523759503
2024Q4,Enterprise,0,1185330.24,1185330.24,1.0
2024Q4,Enterprise,1,1185330.24,1185330.24,1.0
2024Q4,Enterprise,2,1185330.24,1185330.24,1.0
2024Q4,Enterprise,3,1185330.24,1185330.24,1.0
2024Q4,Enterprise,4,1185330.24,970138.08,0.8184538344352035
2024Q4,Enterprise,5,1185330.24,970138.08,0.8184538344352035
2024Q4,Enterprise,6,1185330.24,970138.08,0.8184538344352035
2024Q4,Mid-Market,0,529452.96,529452.96,1.0
2024Q4,Mid-Market,1,529452.96,594444.60,1.1227524348905331
2024Q4,Mid-Market,2,529452.96,683227.20,1.29043985324022
2024Q4,Mid-Market,3,529452.96,768845.16,1.4521500833615135
2024Q4,Mid-Market,4,529452.96,702649.32,1.327123225451417
2024Q4,Mid-Market,5,529452.96,692628.60,1.308196671523
2024Q4,Mid-Market,6,529452.96,975044.28,1.841607005086911
2024Q4,SMB,0,409021.80,409021.80,1.0
2024Q4,SMB,1,409021.80,385261.80,0.9419101866942056
2024Q4,SMB,2,409021.80,366840.36,0.8968723916426948
2024Q4,SMB,3,409021.80,380077.92,0.9292363389922004
2024Q4,SMB,4,409021.80,301007.64,0.7359207748829036
2024Q4,SMB,5,409021.80,260962.80,0.6380168489796876
2024Q4,SMB,6,409021.80,254994.60,0.6234254506728003
2024Q4,Total,0,2123805.00,2123805.00,1.0
2024Q4,Total,1,2123805.00,2165036.64,1.0194140422496416
2024Q4,Total,2,2123805.00,2235397.80,1.0525438069879296
