acquisition_quarter,segment,quarters_since_acquisition,starting_logos,surviving_logos,logo_retention_pct
2024Q1,Enterprise,0,3,3,1.0
2024Q1,Enterprise,1,3,3,1.0
2024Q1,Enterprise,2,3,3,1.0
2024Q1,Enterprise,3,3,3,1.0
2024Q1,Enterprise,4,3,3,1.0
2024Q1,Enterprise,5,3,3,1.0
2024Q1,Enterprise,6,3,3,1.0
2024Q1,Enterprise,7,3,3,1.0
2024Q1,Enterprise,8,3,3,1.0
2024Q1,Enterprise,9,3,3,1.0
2024Q1,Mid-Market,0,13,13,1.0
2024Q1,Mid-Market,1,13,13,1.0
2024Q1,Mid-Market,2,13,13,1.0
2024Q1,Mid-Market,3,13,13,1.0
2024Q1,Mid-Market,4,13,11,0.8461538461538461
2024Q1,Mid-Market,5,13,11,0.8461538461538461
2024Q1,Mid-Market,6,13,11,0.8461538461538461
2024Q1,Mid-Market,7,13,11,0.8461538461538461
2024Q1,Mid-Market,8,13,11,0.8461538461538461
2024Q1,Mid-Market,9,13,10,0.7692307692307693
2024Q1,SMB,0,41,39,0.9512195121951219
2024Q1,SMB,1,41,34,0.8292682926829268
2024Q1,SMB,2,41,32,0.7804878048780488
2024Q1,SMB,3,41,29,0.7073170731707317
2024Q1,SMB,4,41,24,0.5853658536585366
2024Q1,SMB,5,41,23,0.5609756097560976
2024Q1,SMB,6,41,23,0.5609756097560976
2024Q1,SMB,7,41,20,0.4878048780487805
2024Q1,SMB,8,41,18,0.43902439024390244
2024Q1,SMB,9,41,16,0.3902439024390244
2024Q1,Total,0,57,55,0.9649122807017544
2024Q1,Total,1,57,50,0.8771929824561403
2024Q1,Total,2,57,48,0.8421052631578947
2024Q1,Total,3,57,45,0.7894736842105263
2024Q1,Total,4,57,38,0.6666666666666666
2024Q1,Total,5,57,37,0.6491228070175439
2024Q1,Total,6,57,37,0.6491228070175439
2024Q1,Total,7,57,34,0.5964912280701754
2024Q1,Total,8,57,32,0.5614035087719298
2024Q1,Total,9,57,29,0.5087719298245614
2024Q2,Enterprise,0,3,3,1.0
2024Q2,Enterprise,1,3,3,1.0
2024Q2,Enterprise,2,3,3,1.0
2024Q2,Enterprise,3,3,3,1.0
2024Q2,Enterprise,4,3,3,1.0
2024Q2,Enterprise,5,3,3,1.0
2024Q2,Enterprise,6,3,3,1.0
2024Q2,Enterprise,7,3,3,1.0
2024Q2,Enterprise,8,3,3,1.0
2024Q2,Mid-Market,0,10,10,1.0
2024Q2,Mid-Market,1,10,10,1.0
2024Q2,Mid-Market,2,10,10,1.0
2024Q2,Mid-Market,3,10,10,1.0
2024Q2,Mid-Market,4,10,8,0.8
2024Q2,Mid-Market,5,10,7,0.7
2024Q2,Mid-Market,6,10,8,0.8
2024Q2,Mid-Market,7,10,8,0.8
2024Q2,Mid-Market,8,10,8,0.8
2024Q2,SMB,0,35,34,0.9714285714285714
2024Q2,SMB,1,35,30,0.8571428571428571
2024Q2,SMB,2,35,27,0.7714285714285715
2024Q2,SMB,3,35,24,0.6857142857142857
2024Q2,SMB,4,35,19,0.5428571428571428
2024Q2,SMB,5,35,17,0.4857142857142857
2024Q2,SMB,6,35,17,0.4857142857142857
2024Q2,SMB,7,35,16,0.45714285714285713
2024Q2,SMB,8,35,16,0.45714285714285713
2024Q2,Total,0,48,47,0.9791666666666666
2024Q2,Total,1,48,43,0.8958333333333334
2024Q2,Total,2,48,40,0.8333333333333334
2024Q2,Total,3,48,37,0.7708333333333334
2024Q2,Total,4,48,30,0.625
2024Q2,Total,5,48,27,0.5625
2024Q2,Total,6,48,28,0.5833333333333334
2024Q2,Total,7,48,27,0.5625
2024Q2,Total,8,48,27,0.5625
2024Q3,Enterprise,0,1,1,1.0
2024Q3,Enterprise,1,1,1,1.0
2024Q3,Enterprise,2,1,1,1.0
2024Q3,Enterprise,3,1,1,1.0
2024Q3,Enterprise,4,1,1,1.0
2024Q3,Enterprise,5,1,1,1.0
2024Q3,Enterprise,6,1,1,1.0
2024Q3,Enterprise,7,1,1,1.0
2024Q3,Mid-Market,0,9,9,1.0
2024Q3,Mid-Market,1,9,9,1.0
2024Q3,Mid-Market,2,9,9,1.0
2024Q3,Mid-Market,3,9,9,1.0
2024Q3,Mid-Market,4,9,8,0.8888888888888888
2024Q3,Mid-Market,5,9,8,0.8888888888888888
2024Q3,Mid-Market,6,9,8,0.8888888888888888
2024Q3,Mid-Market,7,9,8,0.8888888888888888
2024Q3,SMB,0,28,27,0.9642857142857143
2024Q3,SMB,1,28,22,0.7857142857142857
2024Q3,SMB,2,28,22,0.7857142857142857
2024Q3,SMB,3,28,17,0.6071428571428571
2024Q3,SMB,4,28,14,0.5
2024Q3,SMB,5,28,12,0.42857142857142855
2024Q3,SMB,6,28,12,0.42857142857142855
2024Q3,SMB,7,28,12,0.42857142857142855
2024Q3,Total,0,38,37,0.9736842105263158
2024Q3,Total,1,38,32,0.8421052631578947
2024Q3,Total,2,38,32,0.8421052631578947
2024Q3,Total,3,38,27,0.7105263157894737
2024Q3,Total,4,38,23,0.6052631578947368
2024Q3,Total,5,38,21,0.5526315789473685
2024Q3,Total,6,38,21,0.5526315789473685
2024Q3,Total,7,38,21,0.5526315789473685
2024Q4,Enterprise,0,4,4,1.0
2024Q4,Enterprise,1,4,4,1.0
2024Q4,Enterprise,2,4,4,1.0
2024Q4,Enterprise,3,4,4,1.0
2024Q4,Enterprise,4,4,3,0.75
2024Q4,Enterprise,5,4,3,0.75
2024Q4,Enterprise,6,4,3,0.75
2024Q4,Mid-Market,0,15,15,1.0
2024Q4,Mid-Market,1,15,15,1.0
2024Q4,Mid-Market,2,15,15,1.0
2024Q4,Mid-Market,3,15,15,1.0
2024Q4,Mid-Market,4,15,12,0.8
2024Q4,Mid-Market,5,15,12,0.8
2024Q4,Mid-Market,6,15,12,0.8
2024Q4,SMB,0,50,50,1.0
2024Q4,SMB,1,50,46,0.92
2024Q4,SMB,2,50,41,0.82
2024Q4,SMB,3,50,39,0.78
2024Q4,SMB,4,50,32,0.64
2024Q4,SMB,5,50,26,0.52
2024Q4,SMB,6,50,25,0.5
2024Q4,Total,0,69,69,1.0
2024Q4,Total,1,69,65,0.9420289855072463
2024Q4,Total,2,69,60,0.8695652173913043
2024Q4,Total,3,69,58,0.8405797101449275
2024Q4,Total,4,69,47,0.6811594202898551
2024Q4,Total,5,69,41,0.5942028985507246
2024Q4,Total,6,69,40,0.5797101449275363
2025Q1,Enterprise,0,3,3,1.0
2025Q1,Enterprise,1,3,3,1.0
2025Q1,Enterprise,2,3,3,1.0
2025Q1,Enterprise,3,3,3,1.0
2025Q1,Enterprise,4,3,3,1.0
2025Q1,Enterprise,5,3,3,1.0
2025Q1,Mid-Market,0,13,13,1.0
2025Q1,Mid-Market,1,13,13,1.0
2025Q1,Mid-Market,2,13,13,1.0
2025Q1,Mid-Market,3,13,13,1.0
2025Q1,Mid-Market,4,13,12,0.9230769230769231
2025Q1,Mid-Market,5,13,11,0.8461538461538461
2025Q1,SMB,0,47,47,1.0
2025Q1,SMB,1,47,38,0.8085106382978723
2025Q1,SMB,2,47,34,0.723404255319149
2025Q1,SMB,3,47,32,0.6808510638297872
2025Q1,SMB,4,47,29,0.6170212765957447
2025Q1,SMB,5,47,27,0.574468085106383
2025Q1,Total,0,63,63,1.0
