path,month_end_date,fiscal_year,fiscal_quarter,is_actual,period_label,asc340_immediate_expense,asc340_amortisation,asc340_gaap_commission_expense,gl_commission_expense_6030,gl_commission_amortisation_6040,gl_total_commission_expense,residual_immediate_vs_gl,residual_amortisation_vs_gl,phase6_commission_expense,phase6_commission_amortisation,phase6_total_commission_expense,commission_accounting_adjustment,commission_earned,commission_paid_cash,ending_commission_asset
Base,2024-01-31,2024,2024Q1,true,Actual,11998.570788,479.6176669999999,12478.188455000001,11998.58,479.62,12478.2,-0.009211999999024556,-0.0023330000000783002,11998.58,479.62,12478.2,-0.011544999999387073,29264.806800000002,17266.236012,16786.618345
Base,2024-02-29,2024,2024Q1,true,Actual,17667.699581999997,1185.8468508333333,18853.54643283333,17667.69,1185.85,18853.539999999997,0.009581999998772517,-0.0031491666666170204,17667.69,1185.85,18853.539999999997,0.006432833331928123,43091.9502,32155.156182,41025.02211216667
Base,2024-03-31,2024,2024Q1,true,Actual,33052.750527,2507.061133416667,35559.811660416664,33052.76,2507.06,35559.82,-0.009473000005527865,0.0011334166670167178,33052.76,2507.06,35559.82,-0.008339583335327916,80616.4647,61571.935671,86081.67515175001
Base,2024-04-30,2024,2024Q2,true,Actual,19957.153070999997,3304.806412,23261.959483,19957.15,3304.81,23261.960000000003,0.0030709999955433886,-0.003588000000036118,19957.15,3304.81,23261.960000000003,-0.0005170000040379819,48675.9831,54464.08221,111495.69876875001
Base,2024-05-31,2024,2024Q2,true,Actual,31316.197043999997,4556.605616333333,35872.80266033333,31316.19,4556.6,35872.79,0.007043999998131767,0.005616333332909562,31316.19,4556.6,35872.79,0.012660333326493856,76380.9684,69270.230535,152003.86450841668
Base,2024-06-30,2024,2024Q2,true,Actual,16785.771993000002,5227.581597083334,22013.353590083338,16785.77,5227.58,22013.35,0.001993000001675682,0.001597083333763294,16785.77,5227.58,22013.35,0.003590083339076955,40940.9073,51762.05426099999,170931.41821833333
Base,2024-07-31,2024,2024Q3,true,Actual,9489.721214999998,5606.913271666667,15096.634486666666,9489.72,5606.91,15096.63,0.0012149999984103488,0.0032716666673877626,9489.72,5606.91,15096.63,0.004486666666707606,23145.6615,35712.723864,178980.44523166667
Base,2024-08-31,2024,2024Q3,true,Actual,20181.043575,6413.608102916667,26594.651677916667,20181.05,6413.61,26594.66,-0.006424999999580905,-0.0018970833325511194,20181.05,6413.61,26594.66,-0.008322083333041519,49222.0575,43151.481827999996,201607.85105375
Base,2024-09-30,2024,2024Q3,true,Actual,16381.940115,7068.441752500001,23450.3818675,16381.94,7068.45,23450.39,0.00011499999891384505,-0.008247499999015417,16381.94,7068.45,23450.39,-0.008132499999192078,39955.9515,39773.11351200001,218113.42068625
Base,2024-10-31,2024,2024Q4,true,Actual,15674.168471999998,7694.983717166668,23369.152189166663,15674.17,7694.98,23369.15,-0.0015280000025086338,0.003717166668138816,15674.17,7694.98,23369.15,0.0021891666619922034,38229.6792,39562.29408299999,232973.94769708332
Base,2024-11-30,2024,2024Q4,true,Actual,27328.021058999995,8787.363962750002,36115.38502175,27328.02,8787.36,36115.380000000005,0.0010589999947114848,0.003962750000937376,27328.02,8787.36,36115.380000000005,0.005021749995648861,66653.70989999999,55681.23056699999,263512.2725753333
Base,2024-12-31,2024,2024Q4,true,Actual,50017.923063,10786.725386000002,60804.648449,50017.92,10786.72,60804.64,0.003063000003749039,0.005386000002545188,50017.92,10786.72,60804.64,0.008449000000837259,121994.9343,94257.757662,324702.5584263333
Base,2025-01-31,2025,2025Q1,true,Actual,34989.272489999996,12185.348066833336,47174.62055683333,34989.27,12185.36,47174.63,0.002489999998942949,-0.01193316666467581,34989.27,12185.36,47174.63,-0.00944316666573286,85339.689,89269.957953,362867.6268695
Base,2025-02-28,2025,2025Q1,true,Actual,23370.630374999997,13119.53993141667,36490.170306416665,23370.63,13119.54,36490.17,0.0003749999959836714,-6.858333108539227e-05,23370.63,13119.54,36490.17,0.0003064166667172685,57001.5375,73004.474793,383378.9940630833
Base,2025-03-31,2025,2025Q1,true,Actual,23430.054257999996,14056.107140916669,37486.161398916665,23430.05,14056.1,37486.15,0.004257999997207662,0.00714091666850436,23430.05,14056.1,37486.15,0.011398916663893033,57146.47379999999,63654.12699899999,403039.3064641666
Base,2025-04-30,2025,2025Q2,true,Actual,24011.691860999996,15015.924092000003,39027.615953,24011.69,15015.92,39027.61,0.0018609999970067292,0.004092000002856366,24011.69,15015.92,39027.61,0.005952999999863096,58565.10209999999,59090.90202299999,422576.7926111666
Base,2025-05-31,2025,2025Q2,true,Actual,14683.595967,15602.870001250003,30286.465968250002,14683.59,15602.87,30286.46,0.005966999999145628,1.2500022421590984e-06,14683.59,15602.87,30286.46,0.0059682500032067765,35813.6487,44880.594048,428103.9753429166
Base,2025-06-30,2025,2025Q2,true,Actual,24405.201579,16578.416676833338,40983.61825583334,24405.19,16578.42,40983.61,0.011579000001802342,-0.003323166660265997,24405.19,16578.42,40983.61,0.008255833337898366,59524.8819,53841.792768,446645.23898708326
Base,2025-07-31,2025,2025Q3,true,Actual,12261.521664,17068.545252833337,29330.066916833337,12261.52,17068.55,29330.07,0.0016639999994367827,-0.004747166662127711,12261.52,17068.55,29330.07,-0.003083166662690928,29906.150400000002,38691.866474999995,447221.3224702499
