path,month_end_date,fiscal_year,fiscal_quarter,beginning_commission_asset,capitalised_commission,commission_amortisation,commission_impairment,ending_commission_asset,commission_earned,immediate_expense,earned_recomposed,gaap_commission_expense,commission_paid_cash,gaap_less_cash_commission,beginning_accrued_commission_liability,ending_accrued_commission_liability,is_actual,period_label
Base,2024-01-31,2024,2024Q1,0.0,17266.236011999998,479.6176669999999,0.0,16786.618345,29264.806800000002,11998.570788,29264.8068,12478.188455000001,17266.236012,-4788.047557,0.0,11998.570788,true,Actual
Base,2024-02-29,2024,2024Q1,16786.618345000003,25424.250618,1185.8468508333333,0.0,41025.02211216667,43091.9502,17667.699581999997,43091.95019999999,18853.54643283333,32155.156182,-13301.60974916667,11998.570788,22935.364806,true,Actual
Base,2024-03-31,2024,2024Q1,41025.02211216668,47563.714173,2507.061133416667,0.0,86081.67515175001,80616.4647,33052.750527,80616.4647,35559.811660416664,61571.935671,-26012.124010583335,22935.364805999998,41979.893834999995,true,Actual
Base,2024-04-30,2024,2024Q2,86081.67515175001,28718.830028999993,3304.806412,0.0,111495.69876875001,48675.9831,19957.153070999997,48675.98309999999,23261.959483,54464.08221,-31202.122727,41979.893834999995,36191.79472499999,true,Actual
Base,2024-05-31,2024,2024Q2,111495.69876875002,45064.77135599999,4556.605616333333,0.0,152003.86450841668,76380.9684,31316.197043999997,76380.96839999998,35872.80266033333,69270.230535,-33397.42787466667,36191.79472499999,43302.532589999995,true,Actual
Base,2024-06-30,2024,2024Q2,152003.86450841668,24155.135307,5227.581597083334,0.0,170931.41821833333,40940.9073,16785.771993000002,40940.907300000006,22013.353590083338,51762.05426099999,-29748.700670916653,43302.532589999995,32481.385629000004,true,Actual
Base,2024-07-31,2024,2024Q3,170931.41821833333,13655.940284999999,5606.913271666667,0.0,178980.44523166667,23145.6615,9489.721214999998,23145.661499999995,15096.634486666666,35712.723864,-20616.089377333334,32481.385629000004,19914.323265000003,true,Actual
Base,2024-08-31,2024,2024Q3,178980.44523166667,29041.013924999996,6413.608102916667,0.0,201607.85105375,49222.0575,20181.043575,49222.057499999995,26594.651677916667,43151.481827999996,-16556.83015008333,19914.323265000003,25984.89893700001,true,Actual
Base,2024-09-30,2024,2024Q3,201607.85105375,23574.011384999994,7068.441752500001,0.0,218113.42068625,39955.9515,16381.940115,39955.951499999996,23450.3818675,39773.11351200001,-16322.73164450001,25984.89893700001,26167.736925,true,Actual
Base,2024-10-31,2024,2024Q4,218113.42068625,22555.510727999997,7694.983717166668,0.0,232973.94769708332,38229.6792,15674.168471999998,38229.6792,23369.152189166663,39562.29408299999,-16193.14189383333,26167.736925,24835.122042000006,true,Actual
Base,2024-11-30,2024,2024Q4,232973.94769708332,39325.688840999996,8787.363962750002,0.0,263512.2725753333,66653.70989999999,27328.021058999995,66653.70989999999,36115.38502175,55681.23056699999,-19565.84554524999,24835.122042000003,35807.601375,true,Actual
Base,2024-12-31,2024,2024Q4,263512.2725753333,71977.01123699998,10786.725386000002,0.0,324702.5584263333,121994.9343,50017.923063,121994.9343,60804.648449,94257.757662,-33453.109213,35807.601375,63544.77801299999,true,Actual
Base,2025-01-31,2025,2025Q1,324702.5584263333,50350.416509999995,12185.348066833336,0.0,362867.6268695,85339.689,34989.272489999996,85339.68899999998,47174.62055683333,89269.957953,-42095.33739616667,63544.77801299999,59614.50905999998,true,Actual
Base,2025-02-28,2025,2025Q1,362867.6268695,33630.907125,13119.53993141667,0.0,383378.9940630833,57001.5375,23370.630374999997,57001.53749999999,36490.170306416665,73004.474793,-36514.304486583336,59614.50905999998,43611.57176699998,true,Actual
Base,2025-03-31,2025,2025Q1,383378.9940630833,33716.419541999996,14056.107140916669,0.0,403039.3064641666,57146.47379999999,23430.054257999996,57146.47379999999,37486.161398916665,63654.12699899999,-26167.965600083327,43611.57176699998,37103.91856799998,true,Actual
Base,2025-04-30,2025,2025Q2,403039.3064641666,34553.410239,15015.924092000003,0.0,422576.7926111666,58565.10209999999,24011.691860999996,58565.10209999999,39027.615953,59090.90202299999,-20063.286069999987,37103.91856799998,36578.11864499998,true,Actual
Base,2025-05-31,2025,2025Q2,422576.7926111666,21130.052733,15602.870001250003,0.0,428103.9753429166,35813.6487,14683.595967,35813.6487,30286.465968250002,44880.594048,-14594.128079749997,36578.11864499998,27511.17329699998,true,Actual
Base,2025-06-30,2025,2025Q2,428103.9753429166,35119.680321,16578.416676833338,0.0,446645.23898708326,59524.8819,24405.201579,59524.8819,40983.61825583334,53841.792768,-12858.17451216666,27511.17329699998,33194.26242899998,true,Actual
Base,2025-07-31,2025,2025Q3,446645.23898708326,17644.628736000002,17068.545252833337,0.0,447221.3224702499,29906.150400000002,12261.521664,29906.150400000002,29330.066916833337,38691.866474999995,-9361.799558166658,33194.26242899998,24408.546353999987,true,Actual
