variant,variant_order,useful_life_months,deal_type_eligibility_split,path,month_end_date,fiscal_year,commission_earned,immediate_expense,capitalised_amount,amortisation,gaap_commission_expense,ending_commission_asset,is_actual
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-01-31,2024,29264.806800000002,32.9442,29231.8626,811.9961833333333,844.9403833333333,28419.866416666668,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-02-29,2024,43091.9502,970.9904999999999,42120.9597,1982.0228416666664,2953.0133416666663,68558.803275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-03-31,2024,80616.4647,917.847,79698.6177,4195.873333333333,5113.720333333333,144061.54764166666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-04-30,2024,48675.9831,282.02639999999997,48393.956699999995,5540.149908333333,5822.176308333333,186915.35443333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-05-31,2024,76380.9684,237.08579999999998,76143.8826,7655.257758333333,7892.343558333333,255403.979275,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-06-30,2024,40940.9073,907.5827999999999,40033.3245,8767.294549999999,9674.877349999999,286670.009225,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-07-31,2024,23145.6615,301.58669999999995,22844.0748,9401.852183333333,9703.438883333332,300112.2318416666,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-08-31,2024,49222.0575,374.571,48847.4865,10758.726808333333,11133.297808333333,338200.9915333333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-09-30,2024,39955.9515,508.98209999999995,39446.9694,11854.475958333333,12363.458058333332,365793.48497499997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-10-31,2024,38229.6792,323.5131,37906.1661,12907.425016666666,13230.938116666666,390792.2260583333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-11-30,2024,66653.70989999999,540.4797,66113.23019999999,14743.903633333332,15284.383333333331,442161.55262499995,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2024-12-31,2024,121994.9343,943.5612,121051.3731,18106.441775,19050.002975,545106.4839499999,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-01-31,2025,85339.689,872.2845,84467.4045,20452.758566666667,21325.04306666667,609121.1298833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-02-28,2025,57001.5375,1021.3634999999999,55980.174,22007.763400000003,23029.126900000003,643093.5404833332,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-03-31,2025,57146.47379999999,623.0943,56523.379499999995,23577.857275000002,24200.951575000003,676039.0627083331,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-04-30,2025,58565.10209999999,646.7175,57918.38459999999,25186.701291666668,25833.418791666667,708770.7460166664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-05-31,2025,35813.6487,540.4044,35273.2443,26166.513633333336,26706.918033333335,717877.476683333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-06-30,2025,59524.8819,627.2742,58897.6077,27802.558291666668,28429.832491666668,748972.5260916664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-07-31,2025,29906.150400000002,574.6545,29331.4959,28617.322066666668,29191.976566666668,749686.6999249997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-08-31,2025,38775.2583,277.806,38497.452300000004,29686.695741666666,29964.501741666667,758497.456483333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-09-30,2025,67163.808,638.2338,66525.5742,31534.62835833333,32172.86215833333,793488.4023249997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-10-31,2025,43416.6591,797.574,42619.0851,32718.49183333333,33516.06583333333,803388.9955916663,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-11-30,2025,103831.698,1363.4030999999998,102468.29490000001,35564.83335833333,36928.23645833333,870292.457133333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2025-12-31,2025,73351.2321,2110.3653,71240.86679999999,37543.74632499999,39654.11162499999,903989.577608333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-01-31,2026,44214.5802,1725.6467999999998,42488.933399999994,38723.994475,40449.641275,907754.516533333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-02-28,2026,37999.94999999999,727.9695,37271.98049999999,39759.32726666667,40487.29676666667,905267.1697666664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-03-31,2026,49128.0591,846.3537,48281.7054,41100.48575,41946.83945,912448.3894166664,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-04-30,2026,84928.4301,502.386,84426.0441,43445.653641666664,43948.03964166666,953428.7798749997,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-05-31,2026,60401.9679,518.1891,59883.7788,45109.091941666666,45627.28104166667,968203.466733333,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-06-30,2026,70471.7556,831.3341999999999,69640.4214,47043.54809166667,47874.88229166667,990800.3400416663,true
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-07-31,2026,65021.82221443437,0.0,65021.82221443437,48849.709819845404,48849.709819845404,1006972.4524362553,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-08-31,2026,37950.09842104734,0.0,37950.09842104734,49903.87922043005,49903.87922043005,995018.6716368727,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-09-30,2026,31784.11508603621,0.0,31784.11508603621,50786.77130615327,50786.77130615327,976016.0154167556,false
Deal-type eligibility sensitivity - 36 months,4,36,true,Base,2026-10-31,2026,31864.20432081882,0.0,31864.20432081882,51671.88809284268,51671.88809284268,956208.3316447317,false
