month_end_date,fiscal_year,fiscal_quarter,segment,beginning_deferred_revenue,billings,revenue_recognised,unbilled_receivable_movement,ending_deferred_revenue_calculated,ending_deferred_revenue,deferred_revenue_current,deferred_revenue_long_term,max_months_to_period_end,beginning_unbilled_receivable,ending_unbilled_receivable,rollforward_residual,beginning_net_contract_liability,ending_net_contract_liability,net_rollforward_residual
2024-01-31,2024,2024Q1,Enterprise,2464811.4499999997,768339.09,611904.6599999999,-2.3646862246096134e-11,2621245.88,2621245.8799999994,2621245.8799999994,0.0,11,1.6552803572267294e-10,1.418811734765768e-10,-4.656612873077393e-10,2464811.4499999997,2621245.8799999994,-4.656612873077393e-10
2024-01-31,2024,2024Q1,SMB,390540.06,265964.0099999999,289976.4899999999,7834.099999999948,374361.67999999993,374361.6799999999,374361.6799999999,0.0,11,174826.57000000004,182660.66999999998,-5.820766091346741e-11,215713.48999999996,191701.0099999999,-1.1641532182693481e-10
2024-01-31,2024,2024Q1,Total,5256937.09,2180621.94,1575658.1799999992,7834.0999999999185,5869734.949999999,5869734.949999999,5869734.949999999,0.0,11,204237.46000000037,212071.5600000003,0.0,5052699.63,5657663.389999999,-1.862645149230957e-09
2024-01-31,2024,2024Q1,Mid-Market,2401585.5799999996,1146318.84,673777.0299999996,0.0,2874127.3900000006,2874127.3899999997,2874127.3899999997,0.0,11,29410.89000000016,29410.89000000016,-9.313225746154785e-10,2372174.6899999995,2844716.4999999995,-4.656612873077393e-10
2024-02-29,2024,2024Q1,Enterprise,2621245.8799999994,1180156.96,623694.91,-2.7284841053187847e-11,3177707.9299999992,3177707.93,3177707.93,0.0,11,1.418811734765768e-10,1.1459633242338896e-10,9.313225746154785e-10,2621245.8799999994,3177707.93,9.313225746154785e-10
2024-02-29,2024,2024Q1,Total,5869734.949999999,2049053.86,1607958.7599999993,4121.480000000069,6314951.530000001,6314951.529999998,6314951.529999998,0.0,11,212071.5600000003,216193.04000000036,-2.7939677238464355e-09,5657663.389999999,6098758.489999998,-1.862645149230957e-09
2024-02-29,2024,2024Q1,SMB,374361.6799999999,279859.01,292168.5799999999,3074.1900000000896,365126.30000000016,365126.29999999993,365126.29999999993,0.0,11,182660.66999999998,185734.86000000007,-2.3283064365386963e-10,191701.0099999999,179391.43999999986,-1.4551915228366852e-10
2024-02-29,2024,2024Q1,Mid-Market,2874127.3899999997,589037.89,692095.2699999994,1047.290000000019,2772117.3000000003,2772117.2999999984,2772117.2999999984,0.0,11,29410.89000000016,30458.18000000018,-1.862645149230957e-09,2844716.4999999995,2741659.1199999982,-1.862645149230957e-09
2024-03-31,2024,2024Q1,SMB,365126.29999999993,309663.67000000016,298146.9099999999,5139.4599999999045,381782.5200000001,381782.52,381782.52,0.0,11,185734.86000000007,190874.31999999998,-5.820766091346741e-11,179391.43999999986,190908.20000000004,-2.9103830456733704e-11
2024-03-31,2024,2024Q1,Mid-Market,2772117.2999999984,938713.8800000002,698047.9699999995,-2638.5100000001003,3010144.699999999,3010144.7000000007,3010144.7000000007,0.0,11,30458.18000000018,27819.67000000008,1.862645149230957e-09,2741659.1199999982,2982325.0300000007,1.3969838619232178e-09
2024-03-31,2024,2024Q1,Total,6314951.529999998,2488992.25,1670757.7599999995,2500.949999999808,7135686.969999998,7135686.970000001,7135686.970000001,0.0,11,216193.04000000036,218693.99000000017,2.7939677238464355e-09,6098758.489999998,6916992.98,1.862645149230957e-09
2024-03-31,2024,2024Q1,Enterprise,3177707.93,1240614.7,674562.8800000001,-1.4551915228366852e-11,3743759.75,3743759.75,3743759.75,0.0,11,1.1459633242338896e-10,1.000444171950221e-10,0.0,3177707.93,3743759.75,0.0
2024-04-30,2024,2024Q2,Total,7135686.970000001,1972359.18,1711709.98,-2811.609999999986,7393524.56,7393524.5600000005,7393524.5600000005,0.0,11,218693.99000000017,215882.38000000018,9.313225746154785e-10,6916992.98,7177642.180000001,9.313225746154785e-10
2024-04-30,2024,2024Q2,SMB,381782.52,339055.4099999999,290622.52999999997,-2811.609999999957,427403.79000000004,427403.7899999998,427403.7899999998,0.0,11,190874.31999999998,188062.71000000002,-2.3283064365386963e-10,190908.20000000004,239341.07999999978,-2.3283064365386963e-10
2024-04-30,2024,2024Q2,Enterprise,3743759.75,721760.8200000001,706227.7500000002,-2.7284841053187847e-11,3759292.8200000003,3759292.8199999994,3759292.8199999994,0.0,11,1.000444171950221e-10,7.275957614183426e-11,-9.313225746154785e-10,3743759.75,3759292.8199999994,-9.313225746154785e-10
2024-04-30,2024,2024Q2,Mid-Market,3010144.7000000007,911542.95,714859.6999999997,-1.0913936421275139e-11,3206827.9500000007,3206827.9500000016,3206827.9500000016,0.0,11,27819.67000000008,27819.670000000067,9.313225746154785e-10,2982325.0300000007,3179008.2800000017,9.313225746154785e-10
2024-05-31,2024,2024Q2,SMB,427403.7899999998,338200.6300000001,294030.88,898.4799999999232,472472.01999999984,472472.01999999996,472472.01999999996,0.0,11,188062.71000000002,188961.18999999994,1.1641532182693481e-10,239341.07999999978,283510.83,5.820766091346741e-11
2024-05-31,2024,2024Q2,Total,7393524.5600000005,1378170.9500000002,1747022.6400000001,898.4799999999814,7025571.3500000015,7025571.349999999,7025571.349999999,0.0,11,215882.38000000018,216780.86000000016,-2.7939677238464355e-09,7177642.180000001,6808790.489999998,-1.862645149230957e-09
2024-05-31,2024,2024Q2,Enterprise,3759292.8199999994,557810.78,726967.8500000003,8.003553375601768e-11,3590135.749999999,3590135.7499999986,3590135.7499999986,0.0,11,7.275957614183426e-11,1.5279510989785194e-10,-4.656612873077393e-10,3759292.8199999994,3590135.7499999986,-4.656612873077393e-10
2024-05-31,2024,2024Q2,Mid-Market,3206827.9500000016,482159.54,726023.9099999998,1.4551915228366852e-11,2962963.580000002,2962963.58,2962963.58,0.0,11,27819.670000000067,27819.670000000082,-1.862645149230957e-09,3179008.2800000017,2935143.91,-1.862645149230957e-09
2024-06-30,2024,2024Q2,Total,7025571.349999999,1786320.2699999998,1795361.1199999999,4008.389999999985,7020538.889999999,7020538.889999998,7020538.889999998,0.0,11,216780.86000000016,220789.25000000015,-9.313225746154785e-10,6808790.489999998,6799749.639999998,0.0
2024-06-30,2024,2024Q2,SMB,472472.01999999996,323778.41,300251.06,707.4000000000233,496706.76999999996,496706.7700000002,496706.7700000002,0.0,11,188961.18999999994,189668.58999999997,2.3283064365386963e-10,283510.83,307038.1800000002,2.3283064365386963e-10
2024-06-30,2024,2024Q2,Enterprise,3590135.7499999986,870925.25,760490.7000000002,-4.3655745685100555e-11,3700570.299999998,3700570.2999999984,3700570.2999999984,0.0,11,1.5279510989785194e-10,1.0913936421275139e-10,4.656612873077393e-10,3590135.7499999986,3700570.2999999984,4.656612873077393e-10
2024-06-30,2024,2024Q2,Mid-Market,2962963.58,591616.6099999998,734619.3599999996,3300.989999999987,2823261.82,2823261.8199999994,2823261.8199999994,0.0,11,27819.670000000082,31120.66000000007,-4.656612873077393e-10,2935143.91,2792141.159999999,-9.313225746154785e-10
2024-07-31,2024,2024Q3,Total,7020538.889999998,1578420.51,1833825.0299999996,2373.0199999999313,6767507.389999999,6767507.389999999,6767507.389999999,0.0,11,220789.25000000015,223162.27000000008,0.0,6799749.639999998,6544345.119999998,0.0
