line_order,line_item,unit,amount,running_balance,residual
1,Budget Gross Profit,usd,24911442.949999996,24911442.949999996,3.725290298461914e-09
2,Revenue impact,usd,-841657.0083486214,24069785.941651374,3.725290298461914e-09
3,Subscription COGS - payroll impact,usd,1315484.1402001074,25385270.081851482,3.725290298461914e-09
4,Subscription COGS - non-payroll impact,usd,345292.4900000002,25730562.571851484,3.725290298461914e-09
5,Services COGS - payroll impact,usd,-44082.68573582219,25686479.886115663,3.725290298461914e-09
6,Services COGS - non-payroll impact,usd,8292.090000000011,25694771.976115663,3.725290298461914e-09
7,Base Gross Profit,usd,25694771.97611566,25694771.97611566,3.725290298461914e-09
8,Budget Gross Margin %,pct,0.7406927433120192,0.7406927433120192,3.725290298461914e-09
9,Base Gross Margin %,pct,0.7835929153338076,0.7835929153338076,3.725290298461914e-09
10,Gross Margin variance,bps,429.0017202178842,429.0017202178842,3.725290298461914e-09
