case_label,path,month_end_date,cumulative_hires,new_logo_capacity,pipeline_supported,new_logo_arr,ending_arr,total_revenue,operating_income,ending_headcount,ending_cash,incremental_ending_arr,incremental_revenue,incremental_operating_income,incremental_cash_impact,period_label
Full Capacity-Close Hiring,Base_FullClose,2026-07-31,4.0,432613.907819457,415783.5835924542,379723.84316577663,33671666.72031779,2788191.545068093,-402485.9166222499,205.31055941546788,21332422.416221913,7.450580596923828e-09,0.0,0.0,0.0,FY2026 Reforecast
Full Capacity-Close Hiring,Base_FullClose,2026-08-31,4.0,430999.7686087515,78926.91212814297,78926.91212814295,33985619.40904452,2793140.8672650005,-559187.1072811172,220.62363775019907,20759471.16251482,0.0,4.656612873077393e-10,9.313225746154785e-10,3.725290298461914e-09,FY2026 Reforecast
Full Capacity-Close Hiring,Base_FullClose,2026-09-30,4.0,462167.52586162783,10415.986183574878,10415.986183574878,34227398.18838455,2821909.6185258864,-519550.00171241583,219.8792436021427,20230148.640372142,7.450580596923828e-09,0.0,0.0,0.0,FY2026 Reforecast
Full Capacity-Close Hiring,Base_FullClose,2026-10-31,4.0,493884.4730691897,11305.866570048309,11305.866570048309,34388015.770121634,2844896.6146333367,-534879.6103223232,223.13759105689093,19686780.27701204,0.0,9.313225746154785e-10,-46593.18122137338,-46593.18122137338,FY2026 Reforecast
Full Capacity-Close Hiring,Base_FullClose,2026-11-30,4.0,556849.0595238688,351431.15011490264,351431.15011490264,34776923.08406085,2911870.123896795,-471949.93685560115,222.37908364619727,19170448.52386085,466.87471290677786,69.3810808788985,-46312.88901033858,-92962.9627180323,FY2026 Reforecast
Full Capacity-Close Hiring,Base_FullClose,2026-12-31,4.0,620068.5356402952,351431.15011490264,351431.15011490264,34816883.43951056,2935718.2017674823,-439626.83081078297,221.6233920385402,18706430.12617266,466.87471290677786,21.398424340877682,-46116.622241540346,-139065.21637032554,FY2026 Reforecast
Full Capacity-Close Hiring,Base_FullClose,2027-01-31,4.0,652761.6802915239,351431.15011490264,351431.15011490264,34981310.50043437,2952133.7423316487,-414767.8933155481,220.8705049832878,18285371.58081997,466.87471290677786,38.9062260761857,-45873.20428044209,-184941.05377830938,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-02-28,4.0,668462.9082462045,351431.15011490264,351431.15011490264,35453852.88402414,2961168.4959533536,-397321.2468001172,220.12041127734722,17893937.6752173,2597.0448975116014,355.4654780109413,-45410.4442952401,-230613.54085623845,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-03-31,4.0,659159.0470113808,351431.15011490264,351431.15011490264,35667317.27292427,2988992.7033191943,-361116.52391292714,219.3730997649559,17526552.82671544,7142.208557009697,811.9844053443521,-44819.33534420142,-275922.58367568627,Forward Runway Projection
Full Capacity-Close Hiring,Base_FullClose,2027-04-30,4.0,650085.734538408,351431.15011490264,351431.15011490264,36229359.7096573,3016496.827195067,-325263.13576147985,218.62855933747315,17189110.094434306,14042.52239177376,1450.1787527715787,-44045.43809584901,-320681.0126904212,Forward Runway Projection
