metric,metric_label,period,comparison,driver,driver_category,unit,budget_amount,base_amount,amount,variance,variance_pct,favorable_unfavorable,rank_abs_variance,materiality_flag,source_model
ending_headcount,Ending Headcount,Dec-2026,FY2026 Board Budget vs Base Reforecast,,,fte,214.0,217.66246733183948,217.66246733183948,3.66246733183948,,N/A,1,true,int_budget_reforecast_comparison
exit_arr,Exit ARR,Dec-2026,FY2026 Board Budget vs Base Reforecast,,,usd,37589315.84,34816416.56479766,34816416.56479766,-2772899.2752023414,-0.07376828264194184,Unfavorable,2,true,fct_arr_budget_bridge
general_administrative,General & Administrative,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,5913831.47,5964659.783758221,5964659.783758221,50828.313758221455,0.008594819452679035,Unfavorable,9,false,int_budget_reforecast_comparison
gross_margin_bps,Gross Margin,FY2026,FY2026 Board Budget vs Base Reforecast,,,bps,7406.927433120191,7835.929153338076,7835.929153338076,429.0017202178842,,Favorable,1,true,fct_gross_profit_bridge
gross_profit,Gross Profit,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,24911442.949999996,25694771.97611566,25694771.97611566,783329.0261156633,0.03144454649567634,Favorable,6,true,fct_gross_profit_bridge
new_logo_arr,New Logo ARR,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,6000000.0,3206313.513564448,3206313.513564448,-2793686.486435552,-0.4656144144059254,Unfavorable,1,true,int_budget_reforecast_comparison
operating_income,Operating Income / (Loss),FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,-5625466.879999995,-5713689.171131238,-5713689.171131238,-88222.29113124311,-0.015682661192957408,Unfavorable,7,false,fct_operating_income_bridge
research_development,Research & Development,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,10140310.44,10059881.302126214,10059881.302126214,-80429.13787378557,-0.007931624810668576,Favorable,8,false,int_budget_reforecast_comparison
sales_marketing,Sales & Marketing,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,14482767.92,15383920.061362462,15383920.061362462,901152.1413624622,0.06222236980805408,Unfavorable,3,true,int_budget_reforecast_comparison
total_opex,Total OpEx,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,30536909.83,31408461.147246897,31408461.147246897,871551.317246899,0.0285409139987921,Unfavorable,4,true,int_budget_reforecast_comparison
total_revenue,Revenue,FY2026,FY2026 Board Budget vs Base Reforecast,,,usd,33632627.26,32790970.251651376,32790970.251651376,-841657.0083486214,-0.025025015198548644,Unfavorable,5,true,int_budget_reforecast_comparison
