path,month_end_date,subscription_revenue,services_revenue,total_revenue,subscription_cogs,services_cogs,total_cogs,gross_profit,sales_marketing,research_development,general_administrative,total_opex,operating_income,is_actual,period_label
Base,2024-01-31,851177.12,95532.9,946710.02,391528.01,30072.44,421600.45,525109.5700000001,947423.69,626891.8,314245.81,1888561.3,-1363451.73,true,Actual
Base,2024-02-29,1563029.64,95924.77,1658954.41,385815.06,30180.15,415995.21,1242959.2,977703.18,634415.09,353382.56,1965500.83,-722541.6300000001,true,Actual
Base,2024-03-31,1593423.5,80931.78,1674355.28,393784.1,30351.94,424136.04,1250219.24,1054104.8,651362.74,412986.43,2118453.97,-868234.7300000002,true,Actual
Base,2024-04-30,1642498.21,76228.52,1718726.73,405560.56,43559.87,449120.43,1269606.3,1037058.49,647342.52,406507.52,2090908.53,-821302.23,true,Actual
Base,2024-05-31,1693281.48,77247.39,1770528.8699999999,398368.29,43572.42,441940.70999999996,1328588.16,1098451.4,671563.05,371246.32,2141260.77,-812672.6100000001,true,Actual
Base,2024-06-30,1731131.94,70764.09,1801896.03,433322.47,43159.45,476481.92,1325414.11,1083768.5,686524.48,358724.8,2129017.78,-803603.6699999997,true,Actual
Base,2024-07-31,1773608.8,65683.75,1839292.55,414868.96,43433.67,458302.63,1380989.92,1049621.29,720045.75,356469.13,2126136.17,-745146.25,true,Actual
Base,2024-08-31,1816516.27,60566.28,1877082.55,428333.21,43510.1,471843.31,1405239.24,1061352.01,697618.82,349468.62,2108439.45,-703200.2100000002,true,Actual
Base,2024-09-30,1833023.39,58250.36,1891273.75,432601.04,43425.07,476026.11,1415247.6400000001,1152926.23,721189.24,409076.11,2283191.58,-867943.94,true,Actual
Base,2024-10-31,1851400.37,68233.2,1919633.57,452977.07,43433.38,496410.45,1423223.12,1131396.07,725472.84,397177.35,2254046.2600000002,-830823.1400000001,true,Actual
Base,2024-11-30,1883108.42,72967.28,1956075.7,419045.68,43635.73,462681.41,1493394.29,1115138.52,710708.55,395195.75,2221042.8200000003,-727648.5300000003,true,Actual
Base,2024-12-31,1921557.77,83362.82,2004920.59,447083.21,51091.28,498174.49,1506746.1,1128812.47,715384.71,379226.65,2223423.83,-716677.73,true,Actual
