contract_id,customer_id,segment,contract_type,renewal_date,renewal_month,atr_arr,contract_net_acv,months_to_renewal
CTR-00020-08,CUST-00020,SMB,annual,2027-06-29,2027-06-30,6681.00,6902.30,12
CTR-00021-08,CUST-00021,SMB,annual,2027-06-10,2027-06-30,1780.44,1834.58,12
CTR-00026-07,CUST-00026,SMB,annual,2026-09-23,2026-09-30,1666.20,1666.24,3
CTR-00029-07,CUST-00029,SMB,annual,2026-10-28,2026-10-31,6127.08,5218.68,4
CTR-00044-08,CUST-00044,Mid-Market,annual,2027-01-21,2027-01-31,35247.96,25177.11,7
CTR-00046-08,CUST-00046,Mid-Market,annual,2027-03-16,2027-03-31,54416.76,54416.80,9
CTR-00048-08,CUST-00048,Mid-Market,annual,2027-04-28,2027-04-30,106071.00,106071.01,10
CTR-00050-08,CUST-00050,Mid-Market,annual,2027-06-30,2027-06-30,91427.16,95647.86,12
CTR-00052-07,CUST-00052,Mid-Market,annual,2026-07-28,2026-07-31,46533.96,46533.96,1
CTR-00053-07,CUST-00053,Mid-Market,annual,2026-09-04,2026-09-30,33381.24,33381.33,3
CTR-00054-07,CUST-00054,Mid-Market,annual,2026-09-30,2026-09-30,15485.40,15485.38,3
CTR-00055-07,CUST-00055,Mid-Market,annual,2026-11-02,2026-11-30,108463.32,80085.96,5
CTR-00058-04,CUST-00058,Mid-Market,multi_year,2027-12-19,2027-12-31,43816.08,43816.04,18
CTR-00059-07,CUST-00059,Mid-Market,annual,2026-12-19,2026-12-31,15984.96,15984.93,6
CTR-00060-07,CUST-00060,SMB,annual,2027-01-28,2027-01-31,14779.56,12006.79,7
CTR-00067-07,CUST-00067,SMB,annual,2027-02-16,2027-02-28,2191.80,2191.84,8
CTR-00070-07,CUST-00070,SMB,annual,2027-03-01,2027-03-31,5115.96,5115.89,9
CTR-00084-07,CUST-00084,SMB,annual,2027-03-18,2027-03-31,8955.24,8955.29,9
CTR-00095-07,CUST-00095,SMB,annual,2027-05-26,2027-05-31,8956.44,8956.44,11
CTR-00099-07,CUST-00099,SMB,annual,2027-06-28,2027-06-30,4138.08,4339.03,12
CTR-00104-07,CUST-00104,SMB,annual,2027-06-09,2027-06-30,5251.32,3751.08,12
CTR-00132-06,CUST-00132,SMB,annual,2026-11-27,2026-11-30,3516.36,3516.34,5
CTR-00140-06,CUST-00140,SMB,annual,2026-12-26,2026-12-31,4170.00,4170.03,6
CTR-00142-06,CUST-00142,SMB,annual,2026-12-14,2026-12-31,3121.20,3121.21,6
CTR-00146-06,CUST-00146,SMB,annual,2026-12-17,2026-12-31,4417.56,4417.51,6
CTR-00150-06,CUST-00150,SMB,annual,2026-12-06,2026-12-31,5324.04,5324.03,6
CTR-00156-07,CUST-00156,Mid-Market,annual,2027-01-29,2027-01-31,43257.24,35820.23,7
CTR-00163-07,CUST-00163,Mid-Market,annual,2027-03-07,2027-03-31,56000.52,56000.48,9
CTR-00164-07,CUST-00164,Mid-Market,annual,2027-03-19,2027-03-31,23021.88,23021.84,9
CTR-00165-07,CUST-00165,Mid-Market,annual,2027-04-22,2027-04-30,29804.88,29804.85,10
CTR-00166-03,CUST-00166,Mid-Market,multi_year,2027-04-27,2027-04-30,39264.24,36750.62,10
CTR-00169-07,CUST-00169,Mid-Market,annual,2027-07-01,2027-07-31,54583.20,42594.43,13
CTR-00170-07,CUST-00170,Mid-Market,annual,2027-06-30,2027-06-30,23830.80,23831.83,12
CTR-00172-06,CUST-00172,Mid-Market,annual,2026-07-28,2026-07-31,55306.92,48307.23,1
CTR-00174-06,CUST-00174,Mid-Market,annual,2026-08-31,2026-08-31,50923.68,50923.66,2
CTR-00175-06,CUST-00175,Mid-Market,annual,2026-08-13,2026-08-31,17030.88,10998.66,2
CTR-00176-06,CUST-00176,Mid-Market,annual,2026-09-30,2026-09-30,16787.40,16787.40,3
CTR-00178-06,CUST-00178,Mid-Market,annual,2026-10-13,2026-10-31,11215.08,9345.91,4
CTR-00179-06,CUST-00179,Mid-Market,annual,2026-10-31,2026-10-31,24244.08,24244.06,4
CTR-00180-06,CUST-00180,Mid-Market,annual,2026-10-08,2026-10-31,76190.40,76190.42,4
CTR-00181-06,CUST-00181,Mid-Market,annual,2026-11-28,2026-11-30,14837.88,14837.91,5
CTR-00182-06,CUST-00182,Mid-Market,annual,2026-12-01,2026-12-31,28015.56,28015.53,6
