month_end_date,segment,cohort_customers,cohort_beginning_arr,cohort_current_arr,cohort_grr_arr,retained_logos,nrr,grr,logo_retention
2024-12-31,Enterprise,41,7243149.60,7109126.28,6764793.84,38,0.9814965412284182,0.9339574927459734,0.926829268292683
2024-12-31,Mid-Market,226,7952748.60,8520066.36,7136772.00,196,1.071336061094651,0.8973969075295553,0.8672566371681416
2024-12-31,SMB,522,3375238.80,2912543.28,2621116.20,400,0.8629147306555021,0.7765720754335961,0.7662835249042146
2024-12-31,Total,789,18571137.00,18541735.92,16522682.04,634,0.9984168400674661,0.8896968473174259,0.8035487959442332
2025-01-31,Enterprise,42,7342855.92,7261336.92,6835840.92,39,0.9888981888126167,0.9309512530922709,0.9285714285714286
2025-01-31,Mid-Market,226,8085324.36,8399128.56,7037605.20,193,1.0388115783644332,0.8704171764359494,0.8539823008849557
2025-01-31,SMB,523,3479717.88,2894727.12,2623778.88,396,0.8318855780342745,0.7540205759439326,0.7571701720841301
2025-01-31,Total,791,18907898.16,18555192.60,16497225.00,628,0.9813461254648519,0.8725044349403244,0.7939317319848294
2025-02-28,Enterprise,43,7484338.92,7468531.80,6977317.44,40,0.9978879737851316,0.932255676096507,0.9302325581395349
2025-02-28,Mid-Market,228,8305143.24,8726434.68,7144491.96,193,1.0507265712132376,0.8602490954749625,0.8464912280701754
2025-02-28,SMB,520,3506022.96,2929313.52,2687217.96,397,0.8355089380247527,0.7664576047157432,0.7634615384615384
2025-02-28,Total,791,19295505.12,19124280.00,16809027.36,630,0.991126165449666,0.8711369438355495,0.7964601769911505
2025-03-31,Enterprise,43,8094754.56,8066979.00,7659012.96,41,0.9965686964571784,0.9461698811532588,0.9534883720930233
2025-03-31,Mid-Market,229,8376575.64,8961501.60,7268324.28,197,1.0698287683581402,0.8676963704944233,0.8602620087336245
2025-03-31,SMB,522,3577762.92,2965097.64,2730476.64,400,0.8287574404175445,0.7631798699506898,0.7662835249042146
2025-03-31,Total,794,20049093.12,19993578.24,17657813.88,638,0.9972310528128265,0.8807288077476891,0.8035264483627204
2025-04-30,Enterprise,44,8474733.00,8363756.64,7934939.16,42,0.9869050316983438,0.9363055048459934,0.9545454545454546
2025-04-30,Mid-Market,228,8578316.40,9166773.00,7541927.40,199,1.068598145901916,0.8791850344899845,0.8728070175438597
2025-04-30,SMB,510,3487470.36,2970741.96,2720104.56,399,0.8518328912765297,0.7799649256373895,0.7823529411764706
2025-04-30,Total,782,20540519.76,20501271.60,18196971.12,640,0.9980892323826961,0.8859060692045506,0.8184143222506394
2025-05-31,Enterprise,45,8723614.20,8567587.92,8115701.04,43,0.9821144910328566,0.9303140709730149,0.9555555555555556
2025-05-31,Mid-Market,228,8712286.92,9249964.56,7650423.84,198,1.0617148683161137,0.878118903825082,0.868421052631579
2025-05-31,SMB,508,3528370.56,2957209.32,2706300.12,394,0.8381232270569675,0.7670113084720898,0.7755905511811023
2025-05-31,Total,781,20964271.68,20774761.80,18472425.00,635,0.990960340388033,0.881138409288159,0.8130601792573624
2025-06-30,Enterprise,46,9125888.40,8830604.16,8508673.56,44,0.9676432335069975,0.9323666022477329,0.9565217391304348
2025-06-30,Mid-Market,231,8815432.32,9543341.88,7805658.84,202,1.0825721908554111,0.8854538900254412,0.8744588744588745
2025-06-30,SMB,510,3603012.72,3033622.56,2768328.84,397,0.8419683181135147,0.768337237510502,0.7784313725490196
2025-06-30,Total,787,21544333.44,21407568.60,19082661.24,643,0.9936519344921538,0.8857392266576429,0.8170266836086404
2025-07-31,Enterprise,46,9146261.64,8849913.00,8529048.72,44,0.9675989325842203,0.9325174651356245,0.9565217391304348
2025-07-31,Mid-Market,233,9240150.36,10036100.04,8248473.00,205,1.0861403385215043,0.8926773568217131,0.8798283261802575
2025-07-31,SMB,506,3619488.36,3047749.44,2786000.28,397,0.8420387460508368,0.7697221272456309,0.7845849802371542
2025-07-31,Total,785,22005900.36,21933762.48,19563522.00,646,0.996721884639125,0.8890125684455294,0.8229299363057325
2025-08-31,Enterprise,45,8882611.32,8910810.72,8570444.28,44,1.0031746745392887,0.964856388650359,0.9777777777777777
2025-08-31,Mid-Market,235,9471129.60,10155444.48,8392347.00,206,1.072252720520264,0.8860977892225231,0.8765957446808511
2025-08-31,SMB,505,3634669.20,3064230.24,2800731.60,397,0.8430561548764878,0.7705602479587413,0.7861386138613862
2025-08-31,Total,785,21988410.12,22130485.44,19763522.88,647,1.006461373024454,0.8988154565128694,0.824203821656051
2025-09-30,Enterprise,46,9078607.20,9098864.52,8766440.16,45,1.002231324646362,0.9656150956723847,0.9782608695652174
2025-09-30,Mid-Market,239,9644138.28,10279492.56,8497726.56,207,1.0658798392923916,0.8811286517554994,0.8661087866108786
2025-09-30,SMB,511,3680927.04,3098553.24,2817161.28,398,0.841786106143522,0.765340157353404,0.7788649706457925
2025-09-30,Total,796,22403672.52,22476910.32,20081328.00,650,1.003269008683046,0.8963409004516194,0.8165829145728644
2025-10-31,Enterprise,46,9233107.92,9348222.00,9039615.72,46,1.0124675332507107,0.979043654457794,1.0
2025-10-31,Mid-Market,240,9775622.88,10501634.76,8563946.76,207,1.0742675826299877,0.8760512619120183,0.8625
2025-10-31,SMB,517,3746993.52,3215776.68,2908048.80,402,0.8582285138299359,0.7761019026261886,0.7775628626692457
2025-10-31,Total,803,22755724.32,23065633.44,20511611.28,655,1.0136189521213184,0.9013824825594478,0.8156911581569116
2025-11-30,Enterprise,47,9447702.12,9357353.28,8972176.92,46,0.9904369508212225,0.9496676341019101,0.9787234042553191
2025-11-30,Mid-Market,240,10047234.84,10606566.12,8792022.24,210,1.0556701708387657,0.8750688502867721,0.875
2025-11-30,SMB,514,3811640.04,3284405.40,2972531.16,402,0.8616777464642228,0.7798562111861959,0.7821011673151751
2025-11-30,Total,801,23306577.00,23248324.80,20736730.32,658,0.9975006110935982,0.889737275448042,0.8214731585518102
2025-12-31,Enterprise,49,10080994.56,10097174.52,9666610.08,48,1.0016049964022598,0.9588944843156427,0.9795918367346939
2025-12-31,Mid-Market,244,10460274.72,11134641.48,9359713.68,216,1.0644693163469803,0.8947866026983275,0.8852459016393442
2025-12-31,SMB,528,3953928.12,3324884.64,3014544.00,410,0.8409066981217656,0.7624175019145264,0.7765151515151515
