month_end_date,fiscal_year,fiscal_quarter,contract_accounting_revenue,gl_subscription_revenue,gl_recurring_revenue,gl_usage_revenue,phase6_subscription_revenue,residual_vs_gl,residual_vs_gl_pct,phase6_vs_gl,gl_services_revenue_memo,is_ledger_boundary_month,residual_explanation
2024-01-31,2024,2024Q1,1575658.1799999997,851177.12,836877.34,14299.78,851177.12,724481.0599999997,0.8511519435578809,0.0,95532.9,true,Ledger boundary - GL lag convention has only one prior ARR balance
2024-02-29,2024,2024Q1,1607958.7600000002,1563029.64,1535129.56,27900.08,1563029.64,44929.120000000345,0.028744893155065343,0.0,95924.77,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-03-31,2024,2024Q1,1670757.7600000002,1593423.5,1559961.61,33461.89,1593423.5,77334.26000000024,0.04853339994044292,0.0,80931.78,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-04-30,2024,2024Q2,1711709.9800000007,1642498.21,1608005.75,34492.46,1642498.21,69211.77000000072,0.0421381098491429,0.0,76228.52,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-05-31,2024,2024Q2,1747022.6400000013,1693281.48,1657722.57,35558.91,1693281.48,53741.16000000131,0.03173787739059275,0.0,77247.39,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-06-30,2024,2024Q2,1795361.1200000017,1731131.94,1685689.73,45442.21,1731131.94,64229.1800000018,0.03710241750839738,0.0,70764.09,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-07-31,2024,2024Q3,1833825.0300000021,1773608.8,1725189.28,48419.52,1773608.8,60216.23000000208,0.03395124674618333,0.0,65683.75,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-08-31,2024,2024Q3,1832367.5100000014,1816516.27,1767688.31,48827.96,1816516.27,15851.240000001388,0.008726175626272425,0.0,60566.28,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-09-30,2024,2024Q3,1866972.7100000011,1833023.39,1794529.9,38493.49,1833023.39,33949.32000000123,0.018520942059556234,0.0,58250.36,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-10-31,2024,2024Q4,1896310.3600000015,1851400.37,1812520.96,38879.41,1851400.37,44909.99000000139,0.024257308536673516,0.0,68233.2,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-11-30,2024,2024Q4,1942214.7500000014,1883108.42,1843563.14,39545.28,1883108.42,59106.33000000147,0.031387640441861375,0.0,72967.28,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2024-12-31,2024,2024Q4,2041266.450000001,1921557.77,1888468.55,33089.22,1921557.77,119708.68000000087,0.06229772628693908,0.0,83362.82,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-01-31,2025,2025Q1,2056898.2200000002,1996693.19,1963148.74,33544.45,1996693.19,60205.03000000026,0.03015236907779517,0.0,87337.41,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-02-28,2025,2025Q1,2102694.619999999,2049863.92,2013273.85,36590.07,2049863.92,52830.699999999255,0.02577278398070404,0.0,86601.9,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-03-31,2025,2025Q1,2151194.1200000006,2082086.24,2038362.43,43723.81,2082086.24,69107.88000000059,0.03319165108165767,0.0,73525.07,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
2025-04-30,2025,2025Q2,2202470.8400000012,2129369.35,2084652.59,44716.76,2129369.35,73101.49000000115,0.03433011281016185,0.0,67875.4,false,"Recognition timing - GL lags ARR 55/45 over two months, schedule recognises current month"
