scenario,month_end_date,beginning_arr,new_logo_arr,expansion_arr,reactivation_arr,contraction_arr,churn_arr,ending_arr,subscription_revenue,services_revenue,total_revenue,gross_profit,total_opex,operating_income,ending_headcount,ending_cash,monthly_burn,is_actual,period_label
Base,2024-01-31,18571137.0,525566.76,219226.44,0.0,-258461.88,-149570.16,18907898.16,851177.12,95532.9,946710.02,525109.5700000001,1888561.3,-1363451.73,159.0,,,true,Actual
Base,2024-02-29,18907898.16,356830.68,278988.36,0.0,-91263.12,-156948.96,19295505.12,1563029.64,95924.77,1658954.41,1242959.2,1965500.83,-722541.6300000001,163.0,,,true,Actual
Base,2024-03-31,19295505.12,831032.04,312089.64,0.0,-65536.8,-323996.88,20049093.119999997,1593423.5,80931.78,1674355.28,1250219.24,2118453.97,-868234.7300000002,165.0,,,true,Actual
Base,2024-04-30,20049093.119999997,216228.96,537914.4,0.0,-57366.72,-205350.0,20540519.759999998,1642498.21,76228.52,1718726.73,1269606.3,2090908.53,-821302.23,168.0,,,true,Actual
Base,2024-05-31,20540519.759999998,383789.51999999996,243323.76,8655.48,-45964.32,-166052.52000000002,20964271.679999996,1693281.48,77247.39,1770528.8699999999,1328588.16,2141260.77,-812672.6100000001,171.0,,,true,Actual
Base,2024-06-30,20964271.68,461600.28,292981.8,34328.64,-81439.44,-127409.51999999999,21544333.44,1731131.94,70764.09,1801896.03,1325414.11,2129017.78,-803603.6699999997,174.0,,,true,Actual
Base,2024-07-31,21544333.439999998,320339.76,316543.44,33770.28,-88843.92000000001,-120242.64,22005900.36,1773608.8,65683.75,1839292.55,1380989.92,2126136.17,-745146.25,176.0,,,true,Actual
Base,2024-08-31,22005900.36,148772.52,324913.68,7010.52,-52441.8,-445745.16,21988410.12,1816516.27,60566.28,1877082.55,1405239.24,2108439.45,-703200.2100000002,177.0,,,true,Actual
Base,2024-09-30,21988410.12,301297.92,188901.84,18563.64,-40384.08,-53116.92,22403672.519999996,1833023.39,58250.36,1891273.75,1415247.6400000001,2283191.58,-867943.94,179.0,,,true,Actual
Base,2024-10-31,22403672.519999996,432548.28,239530.8,5769.72,-72395.64,-253401.36,22755724.32,1851400.37,68233.2,1919633.57,1423223.12,2254046.2600000002,-830823.1400000001,181.0,,,true,Actual
Base,2024-11-30,22755724.32,418852.68000000005,400393.20000000007,0.0,-136010.52,-132382.68,23306577.0,1883108.42,72967.28,1956075.7,1493394.29,2221042.8200000003,-727648.5300000003,183.0,,,true,Actual
Base,2024-12-31,23306577.0,1219456.56,403755.48000000004,0.0,-153569.64,-281022.0,24495197.400000002,1921557.77,83362.82,2004920.59,1506746.1,2223423.83,-716677.73,184.0,,,true,Actual
Base,2025-01-31,24495197.4,763989.24,208523.87999999998,5379.0,-356906.4,-433404.48,24682778.64,1996693.19,87337.41,2084030.5999999999,1602033.0699999998,2160710.21,-558677.1400000001,184.0,,,true,Actual
Base,2025-02-28,24682778.64,398202.83999999997,450903.12,0.0,-110046.24,-189502.91999999998,25232335.439999998,2049863.92,86601.9,2136465.82,1652049.42,2298012.09,-645962.6699999999,185.0,,,true,Actual
Base,2025-03-31,25232335.439999998,482289.00000000006,339030.96,7012.2,-120597.12000000001,-125741.04000000001,25814329.439999998,2082086.24,73525.07,2155611.31,1633968.1600000001,2385227.06,-751258.8999999999,187.0,,,true,Actual
Base,2025-04-30,25814329.439999998,289522.07999999996,568274.88,41077.32,-140806.8,-142746.84,26429650.08,2129369.35,67875.4,2197244.75,1669057.67,2455749.06,-786691.3900000001,189.0,,,true,Actual
Base,2025-05-31,26429650.08,266066.16000000003,214662.36,12462.48,-91199.88,-240511.2,26591130.0,2179396.31,63119.0,2242515.31,1708321.4300000002,2353997.3,-645675.8699999996,189.0,,,true,Actual
Base,2025-06-30,26591130.0,408324.0,332059.56000000006,0.0,-45796.2,-147946.44,27137770.919999998,2209872.0,59243.65,2269115.65,1723312.19,2317585.6799999997,-594273.4899999998,190.0,,,true,Actual
Base,2025-07-31,27137770.92,148504.68,364045.92000000004,2735.28,-97174.92,-88185.0,27467696.880000003,2240981.88,57452.67,2298434.55,1753982.0699999998,2304780.94,-550798.8700000001,192.0,,,true,Actual
Base,2025-08-31,27467696.88,254568.0,339460.68000000005,2107.44,-73086.12,-197466.12,27793280.759999998,2276602.52,56599.48,2333202.0,1794925.0,2338168.07,-543243.0699999998,193.0,,,true,Actual
Base,2025-09-30,27793280.759999998,265998.83999999997,295512.48,0.0,-46792.8,-189627.96,28118371.32,2303897.33,53411.27,2357308.6,1812087.04,2416087.6199999996,-604000.5799999996,195.0,,,true,Actual
Base,2025-10-31,28118371.32,427038.12,493697.63999999996,0.0,-124445.04000000001,-162396.0,28752266.040000003,2331006.71,50824.95,2381831.66,1819406.1800000002,2503410.46,-684004.2799999998,197.0,,,true,Actual
Base,2025-11-30,28752266.040000003,771199.2,366765.0,0.0,-173070.72,-328723.80000000005,29388435.72,2372251.11,70188.69,2442439.8,1850229.4899999998,2476525.4,-626295.9100000001,198.0,,,true,Actual
Base,2025-12-31,29388435.72,815749.32,245648.28,37735.8,-77452.2,-220801.08000000002,30189315.839999996,2425179.95,76395.05,2501575.0,1915763.42,2455460.07,-539696.6499999999,198.0,,,true,Actual
Base,2026-01-31,30189315.839999996,267424.44,361621.20000000007,3132.0,-451736.88,-188907.24000000002,30180849.36,2485743.32,70707.55,2556450.8699999996,2008456.7799999998,2329096.32,-320639.54000000004,199.0,,,true,Actual
Base,2026-02-28,30180849.36,347874.72,303632.88,10064.52,-150335.15999999997,-113861.4,30578224.92,2515388.27,58952.53,2574340.8,2019081.1099999999,2384215.15,-365134.04000000004,200.0,,,true,Actual
