metric_group,segment,metric,budget_amount,base_amount,budget_grain
arr,Enterprise,beginning_arr,11601796.44,11601796.44,source
arr,Enterprise,churn_arr,-1095258.9992181817,-792552.9254566476,allocated
arr,Enterprise,contraction_arr,-326656.1927492823,-567673.3609238297,allocated
arr,Enterprise,ending_arr,13784213.881438091,13011569.89521428,allocated
arr,Enterprise,expansion_arr,1883076.8758488037,1752308.4609697575,allocated
arr,Enterprise,new_logo_arr,1644395.4769098626,1017691.280625,allocated
arr,Enterprise,reactivation_arr,76860.28064688995,0.0,allocated
arr,Mid-Market,beginning_arr,13806367.32,13806367.32,source
arr,Mid-Market,churn_arr,-1303379.880171541,-967055.6349852482,allocated
arr,Mid-Market,contraction_arr,-388727.3326827403,-1321487.619564394,allocated
arr,Mid-Market,ending_arr,16972446.17881376,16971967.33625565,allocated
arr,Mid-Market,expansion_arr,2240898.7413475616,4103681.427164341,allocated
arr,Mid-Market,new_logo_arr,2525822.0755715976,1335241.523640954,allocated
arr,Mid-Market,reactivation_arr,91465.25474888006,15220.319999999998,allocated
arr,SMB,beginning_arr,4781152.08,4781152.08,source
arr,SMB,churn_arr,-451361.12061027746,-1299361.146877148,allocated
arr,SMB,contraction_arr,-134616.47456797748,-180234.33391096778,allocated
arr,SMB,ending_arr,6832655.779748149,4832879.333327727,allocated
arr,SMB,expansion_arr,776024.3828036349,582112.6648173501,allocated
arr,SMB,new_logo_arr,1829782.4475185396,853380.7092984933,allocated
arr,SMB,reactivation_arr,31674.464604229997,95829.35999999996,allocated
arr,Total,expansion_arr,4900000.0,6438102.552951446,source
arr,Total,churn_arr,-2850000.0,-3058969.707319044,source
arr,Total,contraction_arr,-850000.0,-2069395.3143991916,source
arr,Total,ending_arr,37589315.84,34816416.56479766,source
arr,Total,beginning_arr,30189315.84,30189315.84,source
arr,Total,new_logo_arr,6000000.0,3206313.513564448,source
arr,Total,reactivation_arr,200000.0,111049.67999999996,source
cogs,Total,services_cogs,785224.35,821014.9457358222,source
cogs,Total,subscription_cogs,7935959.96,6275183.329799893,source
cogs,Total,total_cogs,8721184.31,7096198.275535716,source
cogs_driver,Total,services_cogs_nonpayroll,96351.05,88058.95999999999,source
cogs_driver,Total,services_cogs_payroll,688873.3,732955.9857358222,source
cogs_driver,Total,subscription_cogs_nonpayroll,2589347.17,2244054.6799999997,source
cogs_driver,Total,subscription_cogs_payroll,5346612.79,4031128.6497998927,source
headcount,Total,ending_headcount,214.0,217.66246733183948,source
opex,Total,general_administrative,5913831.47,5964659.783758221,source
opex,Total,research_development,10140310.44,10059881.302126214,source
opex,Total,sales_marketing,14482767.92,15383920.061362462,source
opex,Total,total_opex,30536909.83,31408461.147246897,source
opex_driver,Total,general_administrative_nonpayroll,2861886.88,2441093.51,source
opex_driver,Total,general_administrative_payroll,3051944.59,3523566.273758222,source
opex_driver,Total,research_development_nonpayroll,947716.22,763431.06,source
opex_driver,Total,research_development_payroll,9192594.22,9296450.242126215,source
opex_driver,Total,sales_marketing_commission,360123.42,261856.3142091337,source
opex_driver,Total,sales_marketing_nonpayroll,5401124.95,4566079.949999999,source
opex_driver,Total,sales_marketing_payroll,8721519.55,10555983.797153328,source
revenue,Total,services_revenue,926973.59,510332.65290055244,source
revenue,Total,subscription_revenue,32705653.67,32280637.598750822,source
revenue,Total,total_revenue,33632627.26,32790970.251651376,source
