acquisition_quarter,acquisition_quarter_start,segment,customer_id,quarter_end_date,quarters_since_acquisition,arr
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2024-03-31,20,32851.20
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2026-03-31,28,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2024-09-30,22,32851.20
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2024-12-31,23,34220.04
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2025-03-31,24,35247.72
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2025-06-30,25,35247.72
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2025-09-30,26,35247.72
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2025-12-31,27,35247.72
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2026-03-31,28,25177.08
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2026-06-30,29,35247.96
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2024-03-31,20,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2024-06-30,21,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2024-09-30,22,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00044,2024-06-30,21,32851.20
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2025-03-31,24,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2025-06-30,25,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2025-09-30,26,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2025-12-31,27,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2026-03-31,28,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00043,2026-06-30,29,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2024-03-31,20,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2024-06-30,21,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2024-09-30,22,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2024-12-31,23,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2025-03-31,24,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2025-06-30,25,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2025-09-30,26,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2025-12-31,27,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2026-03-31,28,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00006,2026-06-30,29,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2024-03-31,20,3954.72
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2024-06-30,21,3954.72
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2024-09-30,22,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2024-12-31,23,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2025-03-31,24,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2025-06-30,25,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2025-09-30,26,0.00
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2025-12-31,27,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2026-06-30,29,54416.76
2019Q1,2019-01-01 00:00:00,SMB,CUST-00008,2026-06-30,29,0.00
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2024-03-31,20,25385.04
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2024-06-30,21,54768.36
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2024-09-30,22,54768.36
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2024-12-31,23,80169.96
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2025-03-31,24,80169.96
2019Q1,2019-01-01 00:00:00,Mid-Market,CUST-00046,2025-06-30,25,61010.16
