path,month_end_date,fiscal_year,fiscal_quarter,deal_type,commission_basis,eligible_basis,commission_rate,opportunity_count,commission_earned,immediate_expense,capitalised_amount,commission_expensed_share,amortisation_useful_life_months,is_actual
Base,2024-01-31,2024,2024Q1,Expansion,CRM Closed-Won ACV,148725.98,0.06,21,8923.5588,3658.6591080000003,5264.899692,0.41,36,true
Base,2024-01-31,2024,2024Q1,New Logo,CRM Closed-Won ACV,225647.82,0.09,8,20308.3038,8326.404558,11981.899242,0.41,36,true
Base,2024-01-31,2024,2024Q1,Renewal Uplift,CRM Closed-Won ACV,1098.14,0.03,2,32.9442,13.507122,19.437078,0.41,36,true
Base,2024-02-29,2024,2024Q1,Expansion,CRM Closed-Won ACV,368144.06,0.06,26,22088.6436,9056.343875999999,13032.299723999999,0.41,36,true
Base,2024-02-29,2024,2024Q1,New Logo,CRM Closed-Won ACV,222581.29,0.09,16,20032.3161,8213.249601,11819.066498999999,0.41,36,true
Base,2024-02-29,2024,2024Q1,Renewal Uplift,CRM Closed-Won ACV,32366.35,0.03,20,970.9904999999999,398.10610499999996,572.8843949999999,0.41,36,true
Base,2024-03-31,2024,2024Q1,Expansion,CRM Closed-Won ACV,390306.28,0.06,20,23418.376800000002,9601.534488,13816.842312,0.41,36,true
Base,2024-03-31,2024,2024Q1,New Logo,CRM Closed-Won ACV,625336.01,0.09,22,56280.2409,23074.898768999996,33205.342131,0.41,36,true
Base,2024-03-31,2024,2024Q1,Renewal Uplift,CRM Closed-Won ACV,30594.9,0.03,22,917.847,376.31726999999995,541.52973,0.41,36,true
Base,2024-04-30,2024,2024Q2,Expansion,CRM Closed-Won ACV,456929.73,0.06,21,27415.783799999997,11240.471357999999,16175.312441999997,0.41,36,true
Base,2024-04-30,2024,2024Q2,New Logo,CRM Closed-Won ACV,233090.81,0.09,15,20978.172899999998,8601.050888999998,12377.122010999998,0.41,36,true
Base,2024-04-30,2024,2024Q2,Renewal Uplift,CRM Closed-Won ACV,9400.88,0.03,12,282.02639999999997,115.63082399999998,166.39557599999998,0.41,36,true
Base,2024-05-31,2024,2024Q2,Expansion,CRM Closed-Won ACV,256123.05,0.06,12,15367.382999999998,6300.627029999999,9066.755969999998,0.41,36,true
Base,2024-05-31,2024,2024Q2,New Logo,CRM Closed-Won ACV,675294.44,0.09,19,60776.499599999996,24918.364835999997,35858.134763999995,0.41,36,true
Base,2024-05-31,2024,2024Q2,Renewal Uplift,CRM Closed-Won ACV,7902.86,0.03,16,237.08579999999998,97.20517799999999,139.880622,0.41,36,true
Base,2024-06-30,2024,2024Q2,Expansion,CRM Closed-Won ACV,322822.45,0.06,11,19369.347,7941.43227,11427.91473,0.41,36,true
Base,2024-06-30,2024,2024Q2,New Logo,CRM Closed-Won ACV,229599.75,0.09,16,20663.9775,8472.230775,12191.746724999999,0.41,36,true
Base,2024-06-30,2024,2024Q2,Renewal Uplift,CRM Closed-Won ACV,30252.76,0.03,17,907.5827999999999,372.10894799999994,535.473852,0.41,36,true
Base,2024-07-31,2024,2024Q3,Expansion,CRM Closed-Won ACV,298708.37,0.06,20,17922.5022,7348.225901999999,10574.276297999999,0.41,36,true
Base,2024-07-31,2024,2024Q3,New Logo,CRM Closed-Won ACV,54684.14,0.09,7,4921.5725999999995,2017.8447659999997,2903.7278339999993,0.41,36,true
Base,2024-07-31,2024,2024Q3,Renewal Uplift,CRM Closed-Won ACV,10052.89,0.03,10,301.58669999999995,123.65054699999997,177.93615299999996,0.41,36,true
Base,2024-08-31,2024,2024Q3,Expansion,CRM Closed-Won ACV,214164.06,0.06,15,12849.8436,5268.435876,7581.407724,0.41,36,true
Base,2024-08-31,2024,2024Q3,New Logo,CRM Closed-Won ACV,399973.81,0.09,12,35997.6429,14759.033588999999,21238.609310999997,0.41,36,true
Base,2024-08-31,2024,2024Q3,Renewal Uplift,CRM Closed-Won ACV,12485.7,0.03,10,374.571,153.57411,220.99689,0.41,36,true
