driver_category,driver_name,scenario,segment,value,unit,source_type,basis
expansion,monthly_rate_of_beginning_arr,Base,Enterprise,0.009419882582748737,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Base,Mid-Market,0.022201610155701115,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Base,SMB,0.010452688961917514,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Bear,Enterprise,0.008006900195336427,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Bear,Mid-Market,0.018871368632345946,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Bear,SMB,0.008884785617629887,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Bull,Enterprise,0.011303859099298484,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Bull,Mid-Market,0.026641932186841338,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
expansion,monthly_rate_of_beginning_arr,Bull,SMB,0.012543226754301017,rate,historical,"Trailing-12-month expansion ARR / average beginning ARR (fct_arr_waterfall), x expansion multiplier"
margin,services_cogs_pct_of_revenue,All,All,1.1310230461641433,rate,historical,"Trailing 12 actual months, Services COGS / Services Revenue (fact_gl_actuals)"
margin,subscription_cogs_pct_of_revenue,All,All,0.20543836651046185,rate,historical,"Trailing 12 actual months, Subscription COGS / Subscription Revenue (fact_gl_actuals)"
new_logo,attainment_multiplier,Base,All,1.0,multiplier,management_assumption,"Applied directly to fct_sales_capacity.expected_attainment, already the Base-case trailing-realised figure"
new_logo,attainment_multiplier,Bear,All,0.85,multiplier,management_assumption,"Applied directly to fct_sales_capacity.expected_attainment, already the Base-case trailing-realised figure"
new_logo,attainment_multiplier,Bull,All,1.15,multiplier,management_assumption,"Applied directly to fct_sales_capacity.expected_attainment, already the Base-case trailing-realised figure"
