path,segment,month_end_date,theoretical_capacity,blended_capacity,new_logo_capacity,pipeline_supported_bookings,constrained_new_logo_arr,binding_constraint,incremental_hires
Base,Enterprise,2026-07-31,409592.44151072943,234344.09040581645,134458.12465368034,81568.06,81568.06,Pipeline,0.0
Base,Enterprise,2026-08-31,427181.86332637107,244407.696660237,140232.25628157504,46131.0475,46131.0475,Pipeline,0.0
Base,Enterprise,2026-09-30,485327.36516747327,277675.04575946566,159319.85249249518,0.0,0.0,Pipeline,0.0
Base,Enterprise,2026-10-31,544601.9458371461,311588.3856638516,178778.09475663793,0.0,0.0,Pipeline,0.0
Base,Enterprise,2026-11-30,621642.301337777,355666.2303812648,204068.36057565777,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2026-12-31,698941.8457953226,399892.3673868056,229443.71112170318,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-01-31,741494.1565330474,424238.2330422307,243412.48427672556,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-02-28,731792.9700275109,418687.79925221263,240227.84703186108,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-03-31,722332.1779647641,413274.9046629337,237122.12478317053,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-04-30,713105.8233942741,407996.14106659335,234093.36202484826,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-05-31,704108.0969781535,402848.1847104433,231139.65170832924,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-06-30,695333.3333333334,397827.79420400003,228259.1340415234,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-07-31,686776.0074643776,392931.80847811577,225449.9953178048,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-08-31,678430.7312846906,388157.14479462383,222710.46677401854,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-09-30,670292.2502239302,383500.7968053046,220038.82347678582,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-10-31,662355.4399194883,378959.83265895024,217433.3832364065,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-11-30,654615.3029899551,374531.393155336,214892.50554767484,85554.3865625,85554.3865625,Pipeline,0.0
Base,Enterprise,2027-12-31,647066.9658885387,370212.68994493614,212414.59055694216,85554.3865625,85554.3865625,Pipeline,0.0
Base,Mid-Market,2026-07-31,568878.3909871241,438751.85570303863,181984.74013853865,198490.62898550724,181984.74013853865,Capacity,0.0
Base,Mid-Market,2026-08-31,554781.6406835988,427879.6280827878,177475.17626438022,29156.927681159417,29156.927681159417,Pipeline,0.0
Base,Mid-Market,2026-09-30,582700.8731260081,449412.55188159103,186406.56536510334,10415.986183574878,10415.986183574878,Pipeline,0.0
Base,Mid-Market,2026-10-31,610960.7656297662,471208.2123855473,195446.93194453252,11305.866570048309,11305.866570048309,Pipeline,0.0
Base,Mid-Market,2026-11-30,639552.8766722211,493260.0990050698,204593.57555151597,142464.2615338164,142464.2615338164,Pipeline,0.0
