month_end_date,cost_center,department,segment,total_cost,segment_cost_share_pct,segment_cost,allocation_basis,new_logo_pct,new_logo_allocated_cost
2024-01-31,CC-1000,Sales - SMB,Enterprise,90698.59,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-01-31,CC-1000,Sales - SMB,Mid-Market,90698.59,0.0,0.0,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,0.0
2024-01-31,CC-1000,Sales - SMB,SMB,90698.59,1.0,90698.59,"New Logo AE, SMB -- 100% to own segment; acquisition % = FY2025 SMB AE bookings mix",0.8680089553271375,78727.18835554436
2024-01-31,CC-1010,Sales - Mid-Market,Enterprise,113007.68,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-01-31,CC-1010,Sales - Mid-Market,Mid-Market,113007.68,1.0,113007.68,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,46873.131158626114
2024-01-31,CC-1010,Sales - Mid-Market,SMB,113007.68,0.0,0.0,"New Logo AE, Mid-Market -- 100% to own segment; acquisition % = FY2025 Mid-Market AE bookings mix",0.4147782801896837,0.0
2024-01-31,CC-1020,Sales - Enterprise,Enterprise,65225.45,1.0,65225.45,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,37423.9933744654
2024-01-31,CC-1020,Sales - Enterprise,Mid-Market,65225.45,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-01-31,CC-1020,Sales - Enterprise,SMB,65225.45,0.0,0.0,"New Logo AE, Enterprise -- 100% to own segment; acquisition % = FY2025 Enterprise AE bookings mix",0.5737636670113491,0.0
2024-01-31,CC-1030,Sales Development,Enterprise,55567.95,0.25,13891.9875,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,13891.9875
2024-01-31,CC-1030,Sales Development,Mid-Market,55567.95,0.4375,24310.978124999998,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,24310.978124999998
2024-01-31,CC-1030,Sales Development,SMB,55567.95,0.3125,17364.984375,SDR -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,17364.984375
2024-01-31,CC-1040,Sales Operations,Enterprise,49383.52,0.25,12345.88,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6676.8394629733
2024-01-31,CC-1040,Sales Operations,Mid-Market,49383.52,0.4375,21605.289999999997,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,11684.469060203275
2024-01-31,CC-1040,Sales Operations,SMB,49383.52,0.3125,15432.349999999999,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8346.049328716625
2024-01-31,CC-1050,Solutions Engineering,Enterprise,37609.83,0.25,9402.4575,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5084.991858411818
2024-01-31,CC-1050,Solutions Engineering,Mid-Market,37609.83,0.4375,16454.300625,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,8898.73575222068
2024-01-31,CC-1050,Solutions Engineering,SMB,37609.83,0.3125,11753.071875000001,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,6356.239823014772
2024-01-31,CC-1060,Sales Leadership,Enterprise,21687.54,0.25,5421.885,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,2932.237777436926
2024-01-31,CC-1060,Sales Leadership,Mid-Market,21687.54,0.4375,9488.29875,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,5131.41611051462
2024-01-31,CC-1060,Sales Leadership,SMB,21687.54,0.3125,6777.356250000001,Sales Ops / Solutions Engineering / Leadership -- split across segments by FY2025 active AE headcount; acquisition % = blended FY2025 AE bookings mix,0.5408151920295111,3665.297221796158
2024-01-31,CC-1100,Demand Generation,Enterprise,279825.82,0.25,69956.455,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,69956.455
2024-01-31,CC-1100,Demand Generation,Mid-Market,279825.82,0.4375,122423.79625,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,122423.79625
2024-01-31,CC-1100,Demand Generation,SMB,279825.82,0.3125,87445.56875,Demand generation -- 100% acquisition (PHASE1_SPEC 8.5); split across segments by FY2025 active AE headcount,1.0,87445.56875
2024-01-31,CC-1110,Product Marketing,Enterprise,145969.29,0.25,36492.3225,Product Marketing (brand / content) -- 0% acquisition (PHASE1_SPEC 8.5),0.0,0.0
