customer_id,customer_name,segment,employee_count,region,acquisition_date,acquisition_channel,initial_contract_type,journey_archetype,account_owner_rep_id,csm_id,customer_status,churn_date,first_arr
CUST-00006,Piedmont Electric Inc.,SMB,21,Southeast,2019-02-24,Inbound - Organic,monthly,churn_and_return,REP-003,EMP-0258,Churned,2024-03-31,2647.50
CUST-00008,Granite Peak Electrical Contractors & Sons,SMB,17,Midwest,2019-03-06,Inbound - Organic,annual,churn_and_return,REP-005,EMP-0171,Churned,2024-11-30,2832.85
CUST-00016,Mulcahy Refrigeration,SMB,18,Mountain,2019-05-10,Inbound - Organic,monthly,steady,REP-002,EMP-0042,Churned,2024-02-29,4583.45
CUST-00020,Rio Grande Landscape Services Inc.,SMB,33,Mountain,2019-06-27,Inbound - Paid,annual,land_and_expand,REP-005,EMP-0103,Active,,6076.35
CUST-00024,Ferreira Utility Services,SMB,10,Northeast,2019-08-03,Inbound - Paid,monthly,land_and_expand,REP-003,EMP-0103,Churned,2026-01-31,2008.13
CUST-00025,Fraser Valley Mechanical Systems Inc.,SMB,6,Midwest,2019-09-19,Partner / Referral,annual,steady,REP-005,EMP-0240,Active,,997.33
CUST-00027,Oyelaran Landscape Services Holdings,SMB,17,Mountain,2019-09-29,Inbound - Organic,monthly,land_and_expand,REP-003,EMP-0178,Active,,2479.21
CUST-00028,Anchor Bay Electric & Sons,SMB,12,Mountain,2019-10-29,Inbound - Organic,annual,steady,REP-001,EMP-0291,Active,,3967.94
CUST-00029,Anchor Bay Heating & Air Inc.,SMB,30,Great Lakes,2019-10-02,Inbound - Organic,annual,churn_and_return,REP-001,EMP-0182,Active,,4410.21
CUST-00034,Harrow Fire & Life Safety LLC,SMB,16,Southwest,2019-12-14,Partner / Referral,monthly,land_and_expand,REP-001,EMP-0131,Active,,3565.55
CUST-00037,Harrow Restoration Holdings,SMB,13,Mid-Atlantic,2019-12-29,Partner / Referral,annual,steady,REP-001,EMP-0258,Churned,2023-12-28,3275.75
CUST-00039,Wabash Mechanical Systems Holdings,SMB,5,Mountain,2019-12-26,Partner / Referral,annual,steady,REP-004,EMP-0131,Active,,936.59
CUST-00041,Summit Line Air Systems Services,Mid-Market,81,Northeast,2019-01-30,Inbound - Organic,annual,slow_decay,REP-009,EMP-0154,Churned,2024-01-29,7121.87
CUST-00042,Sonoran Sheet Metal,Mid-Market,151,Southeast,2019-01-18,Inbound - Paid,annual,land_and_expand,REP-008,EMP-0301,Active,,9545.12
CUST-00044,Delgado Energy Services Partners,Mid-Market,283,Great Lakes,2019-03-16,Partner / Referral,annual,land_and_expand,REP-011,EMP-0301,Active,,23226.22
CUST-00046,Blue Ridge Mechanical Systems,Mid-Market,215,Mid-Atlantic,2019-04-27,Outbound - SDR,annual,steady,REP-011,EMP-0317,Active,,35982.26
CUST-00047,Fraser Valley Mechanical Services,Mid-Market,78,Southeast,2019-05-13,Partner / Referral,multi_year,steady,REP-008,EMP-0263,Active,,6123.12
CUST-00048,Lomeli Utility Services Holdings,Mid-Market,161,South Central,2019-06-29,Trade Show / Event,annual,steady,REP-015,EMP-0096,Active,,28636.69
CUST-00049,Front Range Fire Protection & Sons,Mid-Market,87,Northeast,2019-06-09,Outbound - SDR,annual,churn_and_return,REP-015,EMP-0154,Churned,2026-01-31,6376.82
CUST-00050,Red River Fire & Life Safety Group,Mid-Market,115,South Central,2019-07-29,Trade Show / Event,annual,steady,REP-015,EMP-0042,Active,,14004.32
CUST-00051,Susquehanna Roofing Corp.,Mid-Market,149,Southwest,2019-08-31,Inbound - Organic,annual,land_and_expand,REP-015,EMP-0240,Active,,10017.89
CUST-00052,Ozark Roofing Co.,Mid-Market,112,Mid-Atlantic,2019-09-30,Inbound - Paid,annual,land_and_expand,REP-015,EMP-0042,Active,,9214.76
CUST-00053,Castellano Controls,Mid-Market,402,Mid-Atlantic,2019-10-31,Trade Show / Event,annual,land_and_expand,REP-017,EMP-0258,Active,,28652.82
CUST-00054,Pemberton Landscape Services,Mid-Market,97,Southwest,2019-11-25,Partner / Referral,annual,land_and_expand,REP-007,EMP-0148,Churned,2024-11-24,6847.33
CUST-00056,Oyelaran Roofing Holdings,Mid-Market,133,West,2019-12-17,Partner / Referral,multi_year,land_and_expand,REP-017,EMP-0022,Active,,19299.23
CUST-00057,Ackerley Boiler Works,Mid-Market,120,Canada,2019-12-17,Trade Show / Event,annual,steady,REP-018,EMP-0289,Active,,11021.57
CUST-00058,Okonkwo Fire Protection Corp.,SMB,15,Midwest,2020-01-25,Inbound - Organic,annual,land_and_expand,REP-003,EMP-0104,Active,,8143.87
CUST-00059,Fraser Valley Roofing & Sons,SMB,18,Great Lakes,2020-01-27,Outbound - SDR,monthly,steady,REP-016,EMP-0240,Active,,2482.33
CUST-00063,Palouse Energy Services,SMB,9,Mountain,2020-01-18,Inbound - Paid,annual,churn_and_return,REP-004,EMP-0106,Churned,2024-05-31,2108.90
CUST-00065,Okonkwo Refrigeration Services,SMB,12,Northeast,2020-02-15,Inbound - Paid,annual,steady,REP-004,EMP-0245,Active,,1511.26
CUST-00068,Rasmussen Fire Protection Corp.,SMB,17,West,2020-02-29,Inbound - Paid,annual,steady,REP-005,EMP-0106,Active,,2883.67
CUST-00069,Rio Grande Mechanical Services,SMB,12,South Central,2020-02-26,Outbound - SDR,annual,steady,REP-016,EMP-0103,Churned,2024-02-25,898.81
CUST-00073,Adirondack Electric,SMB,18,Mountain,2020-03-28,Outbound - SDR,annual,steady,REP-003,EMP-0153,Churned,2026-03-27,4258.41
CUST-00074,Piedmont Elevator Services,SMB,12,Midwest,2020-03-26,Partner / Referral,monthly,steady,REP-016,EMP-0258,Active,,2061.52
CUST-00075,Boyington Roofing LLC,SMB,11,Great Lakes,2020-03-30,Inbound - Paid,monthly,land_and_expand,REP-004,EMP-0141,Active,,1556.62
CUST-00078,Jankowski Mechanical Systems Co.,SMB,21,Northeast,2020-03-29,Inbound - Organic,monthly,steady,REP-004,EMP-0263,Active,,4317.08
CUST-00083,Pinnacle Point Facilities Group,SMB,8,South Central,2020-04-23,Trade Show / Event,monthly,steady,REP-016,EMP-0153,Churned,2024-10-31,928.68
CUST-00086,Boyington Controls,SMB,12,Mountain,2020-04-01,Partner / Referral,monthly,steady,REP-004,EMP-0240,Churned,2025-12-31,2350.94
CUST-00090,Brazos Mechanical LLC,SMB,15,Midwest,2020-05-15,Partner / Referral,monthly,steady,REP-004,EMP-0317,Active,,993.37
CUST-00091,Meridian Elevator Services & Sons,SMB,27,Northeast,2020-05-23,Inbound - Paid,annual,steady,REP-003,EMP-0182,Active,,4587.70
CUST-00094,Laurentian Security Systems Holdings,SMB,18,Midwest,2020-06-28,Inbound - Paid,annual,land_and_expand,REP-004,EMP-0141,Active,,2605.84
CUST-00095,Adirondack Property Services LLC,SMB,23,South Central,2020-06-02,Inbound - Organic,multi_year,land_and_expand,REP-004,EMP-0141,Active,,1852.44
CUST-00096,Kettle Moraine Mechanical LLC,SMB,21,Canada,2020-06-01,Inbound - Organic,monthly,land_and_expand,REP-004,EMP-0154,Active,,2979.62
CUST-00099,Uphoff Electrical Contractors Co.,SMB,12,Mid-Atlantic,2020-06-05,Partner / Referral,annual,land_and_expand,REP-003,EMP-0312,Active,,2221.70
CUST-00104,Tri-State Fire Protection LLC,SMB,42,Canada,2020-07-29,Inbound - Organic,monthly,land_and_expand,REP-005,EMP-0178,Active,,7882.16
CUST-00107,Thibodeaux Restoration Partners,SMB,20,Southwest,2020-08-28,Outbound - SDR,monthly,steady,REP-016,EMP-0213,Active,,4775.99
CUST-00108,Fraser Valley Glass & Glazing,SMB,9,Midwest,2020-08-27,Outbound - SDR,monthly,land_and_expand,REP-003,EMP-0148,Active,,2132.54
CUST-00111,Holloway HVAC,SMB,37,Midwest,2020-09-25,Inbound - Paid,monthly,steady,REP-001,EMP-0106,Churned,2024-12-31,7357.66
CUST-00113,Okonkwo Property Services LLC,SMB,45,West,2020-09-01,Partner / Referral,monthly,slow_decay,REP-003,EMP-0171,Churned,2025-05-31,8652.17
CUST-00114,Puget Sound HVAC Inc.,SMB,19,Canada,2020-09-01,Inbound - Paid,monthly,steady,REP-016,EMP-0022,Active,,3248.44
CUST-00115,Kearney Energy Services LLC,SMB,42,Northeast,2020-09-21,Partner / Referral,monthly,steady,REP-005,EMP-0154,Active,,15206.89
CUST-00116,Blue Ridge Facility Services Partners,SMB,16,West,2020-09-19,Outbound - SDR,monthly,churn_and_return,REP-003,EMP-0272,Churned,2024-06-30,2761.82
CUST-00120,Boyington Facilities Group Corp.,SMB,26,Great Lakes,2020-10-16,Inbound - Paid,monthly,land_and_expand,REP-005,EMP-0238,Active,,5577.83
CUST-00124,Meridian Glass & Glazing Inc.,SMB,8,Great Lakes,2020-10-13,Inbound - Organic,monthly,steady,REP-005,EMP-0258,Churned,2026-06-30,2068.24
CUST-00126,Chinook Security Systems Corp.,SMB,17,Mid-Atlantic,2020-11-25,Partner / Referral,annual,steady,REP-016,EMP-0219,Active,,2266.73
CUST-00127,Saskatoon Mechanical Corp.,SMB,15,Canada,2020-11-30,Inbound - Organic,monthly,land_and_expand,REP-003,EMP-0213,Active,,2605.87
CUST-00129,Wabash Refrigeration,SMB,5,South Central,2020-11-28,Inbound - Organic,monthly,steady,REP-016,EMP-0022,Active,,1058.19
CUST-00131,Delgado Glass & Glazing Co.,SMB,18,Mountain,2020-11-29,Inbound - Paid,annual,steady,REP-003,EMP-0153,Churned,2025-11-28,1496.06
CUST-00133,Nakashima Fire & Life Safety Inc.,SMB,41,Midwest,2020-12-29,Inbound - Paid,monthly,land_and_expand,REP-019,EMP-0219,Active,,4796.85
CUST-00134,Palouse HVAC Group,SMB,15,Midwest,2020-12-27,Inbound - Paid,annual,steady,REP-019,EMP-0225,Active,,2621.30
CUST-00138,Silverpoint Restoration Holdings,SMB,36,Canada,2020-12-01,Outbound - SDR,monthly,land_and_expand,REP-003,EMP-0119,Active,,4291.03
CUST-00140,Quintero Utility Services & Sons,SMB,32,Great Lakes,2020-12-17,Inbound - Paid,annual,steady,REP-003,EMP-0182,Active,,3196.84
CUST-00142,Holloway Fire & Life Safety Group,SMB,16,West,2020-12-25,Trade Show / Event,monthly,steady,REP-016,EMP-0070,Active,,3827.60
CUST-00143,Redstone Plumbing & Heating Group,SMB,46,Canada,2020-12-26,Outbound - SDR,monthly,land_and_expand,REP-005,EMP-0258,Churned,2025-04-30,7156.05
CUST-00144,Riverworks Heating & Air Services,SMB,18,Mountain,2020-12-05,Inbound - Organic,annual,steady,REP-001,EMP-0103,Active,,3716.37
CUST-00148,Brazos Mechanical Partners,Mid-Market,139,South Central,2020-01-26,Trade Show / Event,annual,steady,REP-011,EMP-0199,Active,,15612.94
CUST-00150,Rasmussen Refrigeration Group,Mid-Market,92,Southwest,2020-02-24,Inbound - Organic,monthly,steady,REP-010,EMP-0240,Active,,7056.85
CUST-00153,Ingersoll Controls Services,Mid-Market,91,Mid-Atlantic,2020-03-26,Inbound - Paid,annual,slow_decay,REP-018,EMP-0141,Churned,2025-03-25,12522.72
CUST-00154,Petrosian Property Services LLC,Mid-Market,61,West,2020-03-17,Outbound - SDR,multi_year,land_and_expand,REP-017,EMP-0219,Active,,7344.35
CUST-00155,Sonoran Energy Services Group,Mid-Market,162,Southeast,2020-03-03,Outbound - SDR,annual,expand_then_contract,REP-011,EMP-0139,Active,,22416.41
CUST-00156,Fontaine Electric Inc.,Mid-Market,245,Southeast,2020-03-20,Inbound - Organic,annual,slow_decay,REP-015,EMP-0139,Active,,17696.95
CUST-00157,Wasatch Fire & Life Safety LLC,Mid-Market,119,Southwest,2020-04-20,Inbound - Paid,annual,land_and_expand,REP-011,EMP-0131,Active,,12596.12
CUST-00158,Panhandle Utility Services Corp.,Mid-Market,142,Canada,2020-04-24,Partner / Referral,multi_year,steady,REP-017,EMP-0042,Active,,19507.63
CUST-00161,Pemberton Heating & Air Corp.,Mid-Market,250,Mountain,2020-06-29,Outbound - SDR,annual,land_and_expand,REP-011,EMP-0182,Active,,19160.21
CUST-00162,Vandermeer Roofing,Mid-Market,76,Northeast,2020-06-26,Inbound - Organic,annual,steady,REP-011,EMP-0284,Active,,17092.32
CUST-00164,Kearney Facility Services Corp.,Mid-Market,184,Midwest,2020-07-29,Inbound - Organic,annual,land_and_expand,REP-018,EMP-0148,Active,,22411.03
CUST-00166,Uphoff Refrigeration Partners,Mid-Market,94,Mid-Atlantic,2020-08-27,Outbound - SDR,annual,land_and_expand,REP-017,EMP-0032,Active,,22517.47
CUST-00167,Brannigan Heating & Air Inc.,Mid-Market,63,Southwest,2020-08-14,Inbound - Paid,annual,expand_then_contract,REP-020,EMP-0022,Active,,9059.61
CUST-00168,Brightline Fire Protection Corp.,Mid-Market,83,Northeast,2020-09-28,Inbound - Organic,annual,steady,REP-010,EMP-0272,Active,,6854.35
CUST-00170,Nakashima Mechanical LLC,Mid-Market,110,Southeast,2020-10-12,Outbound - SDR,annual,steady,REP-015,EMP-0081,Active,,7108.16
CUST-00171,Piedmont Glass & Glazing Group,Mid-Market,96,Canada,2020-10-30,Inbound - Paid,annual,land_and_expand,REP-017,EMP-0225,Active,,7633.96
CUST-00172,Ironbridge Plumbing & Heating Group,Mid-Market,456,Southwest,2020-10-06,Trade Show / Event,annual,land_and_expand,REP-021,EMP-0096,Active,,30413.25
CUST-00173,Rio Grande Building Services,Mid-Market,137,West,2020-11-25,Outbound - SDR,annual,steady,REP-010,EMP-0178,Active,,15830.98
CUST-00174,Hutchins Glass & Glazing & Sons,Mid-Market,85,Southwest,2020-11-30,Inbound - Paid,annual,steady,REP-021,EMP-0106,Active,,11008.28
CUST-00175,Annapolis Valley Fire & Life Safety Co.,Mid-Market,76,Midwest,2020-11-25,Trade Show / Event,annual,steady,REP-018,EMP-0240,Active,,8201.18
CUST-00176,Castellano Glass & Glazing Group,Mid-Market,103,Mountain,2020-12-22,Outbound - SDR,annual,land_and_expand,REP-017,EMP-0104,Active,,6652.84
CUST-00177,Halvorsen Roofing,Mid-Market,214,Southeast,2020-12-27,Inbound - Paid,annual,land_and_expand,REP-010,EMP-0312,Active,,17994.06
CUST-00178,Meridian Plumbing & Heating Co.,Mid-Market,76,Mountain,2020-12-30,Outbound - SDR,multi_year,steady,REP-018,EMP-0258,Active,,16095.67
CUST-00179,Pinnacle Point Electrical Contractors Partners,Mid-Market,114,Southeast,2020-12-30,Outbound - SDR,annual,land_and_expand,REP-007,EMP-0303,Active,,10159.74
CUST-00180,Danforth Plumbing & Heating Corp.,Mid-Market,109,Great Lakes,2020-12-31,Trade Show / Event,annual,land_and_expand,REP-017,EMP-0081,Active,,9173.89
CUST-00181,Coastal Bend Roofing Co.,Mid-Market,116,Great Lakes,2020-12-14,Partner / Referral,annual,slow_decay,REP-018,EMP-0182,Active,,10641.90
CUST-00182,Summit Line Pipefitting Co.,Enterprise,2638,Canada,2020-03-04,Outbound - SDR,multi_year,expand_then_contract,REP-014,EMP-0148,Active,,297945.82
CUST-00183,Halvorsen Building Services Co.,Enterprise,583,South Central,2020-12-12,Trade Show / Event,annual,steady,REP-014,EMP-0096,Active,,49088.65
CUST-00184,Uphoff HVAC Group,SMB,15,Midwest,2021-01-15,Outbound - SDR,monthly,steady,REP-019,EMP-0263,Active,,3123.59
CUST-00185,Delgado Facilities Group,SMB,15,Canada,2021-01-04,Partner / Referral,monthly,steady,REP-019,EMP-0153,Active,,5383.69
CUST-00187,Ironbridge Property Services Partners,SMB,19,Mountain,2021-01-31,Partner / Referral,monthly,steady,REP-003,EMP-0245,Active,,5698.91
CUST-00193,Stavros Facilities Group Partners,SMB,22,Canada,2021-01-26,Inbound - Organic,annual,land_and_expand,REP-003,EMP-0096,Churned,2024-01-25,5979.01
CUST-00194,Bitterroot Electrical Contractors Partners,SMB,13,Midwest,2021-01-25,Trade Show / Event,monthly,steady,REP-001,EMP-0131,Churned,2026-03-31,2859.23
CUST-00195,Kilbride Glass & Glazing & Sons,SMB,12,South Central,2021-02-23,Inbound - Organic,monthly,steady,REP-016,EMP-0245,Active,,2702.71
CUST-00198,Hutchins Landscape Services Services,SMB,34,Southeast,2021-02-24,Inbound - Paid,multi_year,expand_then_contract,REP-019,EMP-0303,Active,,10264.79
CUST-00199,Whitcomb Electric,SMB,14,Northeast,2021-02-02,Inbound - Organic,annual,steady,REP-003,EMP-0119,Active,,3000.54
CUST-00200,Vandermeer Industrial Services Partners,SMB,34,Northeast,2021-02-25,Inbound - Paid,monthly,steady,REP-003,EMP-0103,Active,,5032.52
CUST-00201,Sonoran Plumbing,SMB,16,Southeast,2021-02-27,Inbound - Paid,monthly,steady,REP-001,EMP-0291,Churned,2024-01-31,3809.16
CUST-00202,Lantern Mechanical Systems & Sons,SMB,6,Midwest,2021-02-27,Partner / Referral,monthly,land_and_expand,REP-003,EMP-0032,Active,,1035.08
CUST-00203,Prentice Glass & Glazing Group,SMB,13,Great Lakes,2021-02-28,Inbound - Organic,monthly,steady,REP-003,EMP-0238,Churned,2024-05-31,3351.47
CUST-00205,Lindqvist Security Systems Group,SMB,21,Canada,2021-02-27,Inbound - Organic,monthly,expand_then_contract,REP-005,EMP-0148,Active,,6580.59
CUST-00211,Villanueva Electric Co.,SMB,35,Southwest,2021-03-28,Inbound - Organic,monthly,land_and_expand,REP-019,EMP-0104,Active,,6083.70
CUST-00212,Wasatch Facilities Group,SMB,17,Mountain,2021-03-30,Inbound - Paid,monthly,expand_then_contract,REP-019,EMP-0272,Churned,2025-04-30,3923.46
CUST-00213,Willamette Building Services,SMB,17,Southeast,2021-03-16,Outbound - SDR,monthly,slow_decay,REP-003,EMP-0139,Churned,2024-03-31,4047.43
CUST-00214,Quintero Mechanical Systems,SMB,6,Canada,2021-03-10,Inbound - Paid,annual,steady,REP-019,EMP-0096,Active,,1468.71
CUST-00216,Bellamy Fire & Life Safety Co.,SMB,14,Great Lakes,2021-03-27,Inbound - Paid,annual,steady,REP-005,EMP-0171,Active,,3702.14
CUST-00217,Brannigan Plumbing & Heating Holdings,SMB,19,West,2021-03-22,Inbound - Paid,annual,land_and_expand,REP-001,EMP-0303,Active,,3565.86
CUST-00218,Lantern Sheet Metal LLC,SMB,9,Southeast,2021-03-16,Partner / Referral,monthly,land_and_expand,REP-003,EMP-0096,Active,,959.22
CUST-00219,Hudson Valley Facilities Group & Sons,SMB,18,Southeast,2021-03-02,Inbound - Organic,monthly,land_and_expand,REP-003,EMP-0148,Active,,3665.11
