contract_id,customer_id,contract_type,term_months,start_date,end_date,renewal_date,billing_frequency,list_acv,discount_pct,net_acv,tcv,renewal_status,predecessor_contract_id,uplift_pct_at_renewal
CTR-00006-02R,CUST-00006,monthly,1,2020-03-01,2023-12-31,,Monthly in arrears,3052.17,0.10,2752.14,10549.87,Churned,,
CTR-00008-05,CUST-00008,annual,12,2023-08-01,2024-07-31,2024-08-02,Quarterly in advance,4685.73,0.16,3954.76,3954.76,Churned,,0.04
CTR-00016-01,CUST-00016,monthly,1,2019-05-10,2024-02-29,,Monthly in arrears,4913.60,0.09,4464.01,21576.05,Churned,,
CTR-00020-05,CUST-00020,annual,12,2023-06-27,2024-06-26,2024-06-26,Quarterly in advance,7289.84,0.15,6181.06,6181.06,Renewed,,0.00
CTR-00020-06,CUST-00020,annual,12,2024-06-27,2025-06-26,2025-06-26,Annual in advance,7741.81,0.17,6434.22,6434.22,Renewed,CTR-00020-05,0.04
CTR-00020-07,CUST-00020,annual,12,2025-06-27,2026-06-26,2026-07-01,Annual in advance,8221.81,0.19,6681.04,6681.04,Renewed,CTR-00020-06,0.04
CTR-00020-08,CUST-00020,annual,12,2026-06-27,2027-06-26,2027-06-29,Annual in advance,8731.56,0.21,6902.30,6902.30,Active,CTR-00020-07,0.03
CTR-00021-05,CUST-00021,annual,12,2023-06-10,2024-06-09,2024-06-11,Annual in advance,1988.14,0.18,1635.64,1635.64,Renewed,,0.05
CTR-00021-06,CUST-00021,annual,12,2024-06-10,2025-06-09,2025-06-11,Quarterly in advance,2111.40,0.19,1704.11,1704.11,Renewed,CTR-00021-05,0.04
CTR-00021-07,CUST-00021,annual,12,2025-06-10,2026-06-09,2026-06-13,Annual in advance,2242.31,0.21,1780.39,1780.39,Renewed,CTR-00021-06,0.04
CTR-00021-08,CUST-00021,annual,12,2026-06-10,2027-06-09,2027-06-10,Quarterly in advance,2381.33,0.23,1834.58,1834.58,Active,CTR-00021-07,0.03
CTR-00025-01,CUST-00025,monthly,1,2019-08-03,2026-01-31,,Monthly in arrears,2210.20,0.12,1955.81,12712.76,Churned,,
