month_end_date,cost_center,department,account_code,account_name,account_category,actual_amount
2024-01-31,CC-1000,Sales - SMB,6000,Salaries & Wages,Sales & Marketing,65658.33
2024-01-31,CC-1000,Sales - SMB,6020,Payroll Taxes & Benefits,Sales & Marketing,13459.96
2024-01-31,CC-1000,Sales - SMB,6030,Sales Commissions,Sales & Marketing,1172.16
2024-01-31,CC-1000,Sales - SMB,6040,Commission Amortisation,Sales & Marketing,46.85
2024-01-31,CC-1000,Sales - SMB,6200,Software & Subscriptions,Sales & Marketing,3752.79
2024-01-31,CC-1000,Sales - SMB,6300,Travel & Entertainment,Sales & Marketing,4650.35
2024-01-31,CC-1000,Sales - SMB,6450,Training & Enablement,Sales & Marketing,432.88
2024-01-31,CC-1010,Sales - Mid-Market,6000,Salaries & Wages,Sales & Marketing,81691.67
2024-01-31,CC-1010,Sales - Mid-Market,6020,Payroll Taxes & Benefits,Sales & Marketing,16746.79
2024-01-31,CC-1010,Sales - Mid-Market,6030,Sales Commissions,Sales & Marketing,2237.76
2024-01-31,CC-1010,Sales - Mid-Market,6040,Commission Amortisation,Sales & Marketing,89.45
2024-01-31,CC-1010,Sales - Mid-Market,6200,Software & Subscriptions,Sales & Marketing,3742.36
2024-01-31,CC-1010,Sales - Mid-Market,6300,Travel & Entertainment,Sales & Marketing,5182.41
2024-01-31,CC-1010,Sales - Mid-Market,6450,Training & Enablement,Sales & Marketing,404.59
2024-01-31,CC-1020,Sales - Enterprise,6000,Salaries & Wages,Sales & Marketing,46650.00
2024-01-31,CC-1020,Sales - Enterprise,6020,Payroll Taxes & Benefits,Sales & Marketing,9563.25
2024-01-31,CC-1020,Sales - Enterprise,6030,Sales Commissions,Sales & Marketing,1918.08
2024-01-31,CC-1020,Sales - Enterprise,6040,Commission Amortisation,Sales & Marketing,76.67
2024-01-31,CC-1020,Sales - Enterprise,6200,Software & Subscriptions,Sales & Marketing,1881.95
2024-01-31,CC-1020,Sales - Enterprise,6300,Travel & Entertainment,Sales & Marketing,2417.59
2024-01-31,CC-1020,Sales - Enterprise,6450,Training & Enablement,Sales & Marketing,220.99
2024-01-31,CC-1030,Sales Development,6000,Salaries & Wages,Sales & Marketing,42458.33
2024-01-31,CC-1030,Sales Development,6020,Payroll Taxes & Benefits,Sales & Marketing,8703.96
2024-01-31,CC-1030,Sales Development,6200,Software & Subscriptions,Sales & Marketing,1681.53
2024-01-31,CC-1030,Sales Development,6300,Travel & Entertainment,Sales & Marketing,2459.34
2024-01-31,CC-1030,Sales Development,6450,Training & Enablement,Sales & Marketing,265.26
2024-01-31,CC-1040,Sales Operations,6000,Salaries & Wages,Sales & Marketing,38041.67
2024-01-31,CC-1040,Sales Operations,6020,Payroll Taxes & Benefits,Sales & Marketing,7798.54
2024-01-31,CC-1040,Sales Operations,6200,Software & Subscriptions,Sales & Marketing,1431.36
2024-01-31,CC-1040,Sales Operations,6300,Travel & Entertainment,Sales & Marketing,2112.33
