month_end_date,channel,spend,opportunities_created
2024-01-31,Paid Search,54102.72,14
2024-01-31,Paid Social,32110.22,8
2024-01-31,Content & SEO,32166.03,17
2024-01-31,Trade Shows & Events,49757.03,8
2024-01-31,Partner & Co-Marketing,25908.93,6
2024-01-31,Outbound Programs,15572.23,4
2024-02-29,Paid Search,63610.21,21
2024-02-29,Paid Social,32403.65,8
2024-02-29,Content & SEO,35606.32,12
2024-02-29,Trade Shows & Events,49694.09,7
2024-02-29,Partner & Co-Marketing,26632.82,7
2024-02-29,Outbound Programs,16910.81,5
2024-03-31,Paid Search,66419.85,19
2024-03-31,Paid Social,38436.65,7
2024-03-31,Content & SEO,45534.38,20
2024-03-31,Trade Shows & Events,67574.97,11
2024-03-31,Partner & Co-Marketing,30146.21,7
2024-03-31,Outbound Programs,20650.28,6
2024-04-30,Paid Search,61002.03,18
2024-04-30,Paid Social,34857.08,11
2024-04-30,Content & SEO,37019.10,19
2024-04-30,Trade Shows & Events,60723.86,7
2024-04-30,Partner & Co-Marketing,32946.82,6
2024-04-30,Outbound Programs,17851.95,8
2024-05-31,Paid Search,80782.06,26
2024-05-31,Paid Social,32075.90,8
2024-05-31,Content & SEO,46328.36,16
2024-05-31,Trade Shows & Events,64120.50,9
2024-05-31,Partner & Co-Marketing,30487.27,6
2024-05-31,Outbound Programs,19890.48,7
2024-06-30,Paid Search,68988.76,18
2024-06-30,Paid Social,39418.27,9
2024-06-30,Content & SEO,46769.88,17
2024-06-30,Trade Shows & Events,66898.72,8
2024-06-30,Partner & Co-Marketing,33689.41,12
2024-06-30,Outbound Programs,19125.72,5
2024-07-31,Paid Search,66763.07,22
2024-07-31,Paid Social,34751.67,9
2024-07-31,Content & SEO,35100.94,13
2024-07-31,Trade Shows & Events,52467.03,5
2024-07-31,Partner & Co-Marketing,24281.83,9
2024-07-31,Outbound Programs,15322.91,5
2024-08-31,Paid Search,68063.34,25
2024-08-31,Paid Social,33173.64,9
2024-08-31,Content & SEO,34553.93,17
2024-08-31,Trade Shows & Events,54677.18,8
2024-08-31,Partner & Co-Marketing,26412.74,5
2024-08-31,Outbound Programs,16605.26,6
2024-09-30,Paid Search,82174.67,24
2024-09-30,Paid Social,38987.37,8
2024-09-30,Content & SEO,45901.63,24
2024-09-30,Trade Shows & Events,62019.18,10
2024-09-30,Partner & Co-Marketing,39116.88,14
2024-09-30,Outbound Programs,18172.92,7
2024-10-31,Paid Search,83357.41,31
2024-10-31,Paid Social,40303.51,9
2024-10-31,Content & SEO,42103.79,16
2024-10-31,Trade Shows & Events,69208.09,9
2024-10-31,Partner & Co-Marketing,34290.94,10
2024-10-31,Outbound Programs,19568.08,8
2024-11-30,Paid Search,66596.80,18
2024-11-30,Paid Social,33447.91,8
2024-11-30,Content & SEO,44055.12,21
2024-11-30,Trade Shows & Events,62916.74,10
2024-11-30,Partner & Co-Marketing,29552.86,8
2024-11-30,Outbound Programs,19787.17,8
2024-12-31,Paid Search,69141.50,22
2024-12-31,Paid Social,38238.81,11
2024-12-31,Content & SEO,40425.06,16
2024-12-31,Trade Shows & Events,57468.97,9
2024-12-31,Partner & Co-Marketing,29184.95,6
2024-12-31,Outbound Programs,17030.84,5
2025-01-31,Paid Search,60650.74,17
2025-01-31,Paid Social,33246.92,7
2025-01-31,Content & SEO,44360.01,17
2025-01-31,Trade Shows & Events,55896.02,6
2025-01-31,Partner & Co-Marketing,29648.14,6
2025-01-31,Outbound Programs,18155.40,4
2025-02-28,Paid Search,68181.11,16
2025-02-28,Paid Social,30317.05,6
2025-02-28,Content & SEO,39563.86,20
2025-02-28,Trade Shows & Events,55804.84,6
2025-02-28,Partner & Co-Marketing,29514.74,8
2025-02-28,Outbound Programs,16733.94,4
2025-03-31,Paid Search,81122.13,26
2025-03-31,Paid Social,41980.63,10
