customer_id,product_id,contract_id,month_end_date,seats,mrr,arr
CUST-00006,PRD-CORE,CTR-00006-02R,2023-12-31,5,204.77,2457.24
CUST-00006,PRD-DISPATCH,CTR-00006-02R,2023-12-31,5,81.91,982.92
CUST-00008,PRD-CORE,CTR-00008-05,2023-12-31,7,329.56,3954.72
CUST-00016,PRD-CORE,CTR-00016-01,2023-12-31,6,235.48,2825.76
CUST-00016,PRD-DISPATCH,CTR-00016-01,2023-12-31,6,94.19,1130.28
CUST-00016,PRD-INSIGHTS,CTR-00016-01,2023-12-31,0,152.22,1826.64
CUST-00020,PRD-CORE,CTR-00020-05,2023-12-31,11,515.09,6181.08
CUST-00021,PRD-CORE,CTR-00021-05,2023-12-31,3,136.30,1635.60
CUST-00025,PRD-CORE,CTR-00025-01,2023-12-31,4,155.22,1862.64
CUST-00025,PRD-DISPATCH,CTR-00025-01,2023-12-31,4,62.09,745.08
CUST-00026,PRD-CORE,CTR-00026-05,2023-12-31,3,132.60,1591.20
CUST-00028,PRD-CORE,CTR-00028-01,2023-12-31,6,241.46,2897.52
CUST-00028,PRD-DISPATCH,CTR-00028-01,2023-12-31,6,96.58,1158.96
CUST-00028,PRD-INSIGHTS,CTR-00028-01,2023-12-31,0,106.32,1275.84
CUST-00029,PRD-CORE,CTR-00029-05,2023-12-31,4,177.12,2125.44
CUST-00029,PRD-INSIGHTS,CTR-00029-05,2023-12-31,0,229.91,2758.92
CUST-00030,PRD-CORE,CTR-00030-04,2023-12-31,8,373.15,4477.80
CUST-00030,PRD-INSIGHTS,CTR-00030-04,2023-12-31,0,139.03,1668.36
CUST-00035,PRD-CORE,CTR-00035-01,2023-12-31,7,289.39,3472.68
CUST-00035,PRD-DISPATCH,CTR-00035-01,2023-12-31,7,115.75,1389.00
CUST-00038,PRD-CORE,CTR-00038-04,2023-12-31,5,242.47,2909.64
CUST-00038,PRD-INSIGHTS,CTR-00038-04,2023-12-31,0,142.68,1712.16
CUST-00043,PRD-CORE,CTR-00043-05,2023-12-31,7,571.90,6862.80
